benchmarks	CTRL	status	cputime(s)	walltime(s)	memory(MB)
array-examples/data_structures_set_multi_proc_ground-1.yml	false	TIMEOUT	301.111147627	301.0386238789997	1632.116736
array-examples/data_structures_set_multi_proc_ground-2.yml	true	TIMEOUT	301.161359788	301.0375295010017	1438.466048
array-examples/data_structures_set_multi_proc_trivial_ground.yml	true	TIMEOUT	301.17224539	301.01193140299983	3077.582848
array-examples/relax-2-2.yml	true	TIMEOUT	301.005503475	301.01723613600007	96.051200
array-examples/sanfoundry_02_ground.yml	true	OUT OF MEMORY	129.768947114	129.4333298649999	4999.999488
array-examples/sanfoundry_10_ground.yml	true	TIMEOUT	301.043260487	301.07236088900027	788.766720
array-examples/sanfoundry_24-1.yml	true	TIMEOUT	301.01006205	301.01984764199915	174.718976
array-examples/sanfoundry_27_ground.yml	true	TIMEOUT	301.469806093	301.07075794999946	4137.783296
array-examples/sanfoundry_43_ground.yml	true	TIMEOUT	301.364934444	301.0128365010005	3277.062144
array-examples/sorting_bubblesort_2_ground.yml	false	TIMEOUT	301.305793079	301.03726867000114	2742.272000
array-examples/sorting_bubblesort_ground-1.yml	true	TIMEOUT	301.214334036	301.0208814939997	2742.284288
array-examples/sorting_bubblesort_ground-2.yml	false	TIMEOUT	301.375982732	301.0377286469993	2742.411264
array-examples/sorting_selectionsort_2_ground.yml	false	TIMEOUT	301.182570648	301.0237650630006	1532.715008
array-examples/sorting_selectionsort_ground-1.yml	false	TIMEOUT	301.253680724	301.0162613019984	1933.889536
array-examples/sorting_selectionsort_ground-2.yml	true	TIMEOUT	301.222380923	301.04745239600015	1541.287936
array-examples/standard_allDiff2_ground.yml	false	TIMEOUT	301.143537772	301.0158955879997	1551.306752
array-examples/standard_compareModified_ground.yml	true	TIMEOUT	301.267258058	301.02319531800094	1889.423360
array-examples/standard_compare_ground.yml	true	TIMEOUT	301.228789658	301.0193851990007	1729.413120
array-examples/standard_copy1_ground-1.yml	true	TIMEOUT	301.347672897	301.03725586700057	2858.065920
array-examples/standard_copy1_ground-2.yml	false	TIMEOUT	301.339761234	301.0335078039989	3451.293696
array-examples/standard_copy2_ground-1.yml	false	TIMEOUT	301.365527227	301.0252505119988	4076.507136
array-examples/standard_copy2_ground-2.yml	true	TIMEOUT	301.232856127	301.02604161399904	3562.926080
array-examples/standard_copy3_ground-1.yml	true	TIMEOUT	301.410004487	301.0265735789999	4233.170944
array-examples/standard_copy3_ground-2.yml	false	TIMEOUT	301.238519684	301.039669623	4767.047680
array-examples/standard_copy4_ground-1.yml	true	TIMEOUT	301.467313585	301.0224182290003	4913.508352
array-examples/standard_copy4_ground-2.yml	false	OUT OF MEMORY	100.475947264	100.11290784000084	4999.999488
array-examples/standard_copy5_ground-1.yml	true	OUT OF MEMORY	100.125567859	99.72923551299937	4999.999488
array-examples/standard_copy5_ground-2.yml	false	OUT OF MEMORY	101.981087218	101.64283914999942	4999.999488
array-examples/standard_copy6_ground-1.yml	false	OUT OF MEMORY	101.484644636	101.16789005999999	4999.999488
array-examples/standard_copy6_ground-2.yml	true	OUT OF MEMORY	102.19724111	101.83461399999942	4999.999488
array-examples/standard_copy7_ground-1.yml	false	OUT OF MEMORY	103.183983619	102.84552226199958	4999.999488
array-examples/standard_copy7_ground-2.yml	true	OUT OF MEMORY	101.061788079	100.73082543199962	4999.999488
array-examples/standard_copy8_ground-1.yml	true	OUT OF MEMORY	103.232675359	102.84086906899938	4999.999488
array-examples/standard_copy8_ground-2.yml	false	OUT OF MEMORY	100.447208529	100.14702785000009	4999.999488
array-examples/standard_copy9_ground-1.yml	false	OUT OF MEMORY	93.095209974	92.73780539799918	4999.999488
array-examples/standard_copy9_ground-2.yml	true	OUT OF MEMORY	97.75099816	97.40767104900078	4999.999488
array-examples/standard_copyInitSum2_ground-1.yml	false	TIMEOUT	301.258449655	301.02659662100086	3240.886272
array-examples/standard_copyInitSum2_ground-2.yml	true	TIMEOUT	301.251917655	301.0129909729985	3522.752512
array-examples/standard_copyInitSum3_ground.yml	true	TIMEOUT	301.304401214	301.0298355490013	4377.767936
array-examples/standard_copyInitSum_ground.yml	true	TIMEOUT	301.323896431	301.06552122799985	3533.238272
array-examples/standard_copyInit_ground.yml	true	TIMEOUT	301.165141209	301.0462481570012	2676.502528
array-examples/standard_find_ground-1.yml	true	OUT OF MEMORY	139.969440753	139.74330505700163	4999.999488
array-examples/standard_init1_ground-1.yml	false	TIMEOUT	301.141299051	301.0336577910002	2009.874432
array-examples/standard_init1_ground-2.yml	true	TIMEOUT	301.156794169	301.0166543569994	2009.796608
array-examples/standard_init2_ground-1.yml	false	TIMEOUT	301.141694461	301.03589961299986	2579.034112
