benchmarks	CTRL	status	cputime(s)	walltime(s)	memory(MB)
array-examples/data_structures_set_multi_proc_ground-1.yml	false	TIMEOUT	301.08716956	301.01334036399976	1342.038016
array-examples/data_structures_set_multi_proc_ground-2.yml	true	TIMEOUT	301.029167299	301.020537761	1141.002240
array-examples/data_structures_set_multi_proc_trivial_ground.yml	true	TIMEOUT	301.092179733	301.02113683000016	1262.047232
array-examples/relax-2-2.yml	true	TIMEOUT	301.006365819	301.0275079089997	100.909056
array-examples/sanfoundry_02_ground.yml	true	OUT OF MEMORY	123.687769007	123.25363105099996	4999.999488
array-examples/sanfoundry_10_ground.yml	true	TIMEOUT	300.389572128	301.16888591	837.738496
array-examples/sanfoundry_24-1.yml	true	TIMEOUT	301.070138512	301.0718557230002	201.744384
array-examples/sanfoundry_27_ground.yml	true	TIMEOUT	301.288970613	301.02254417799986	3455.418368
array-examples/sanfoundry_43_ground.yml	true	TIMEOUT	301.234718353	301.0192296949999	3096.596480
array-examples/sorting_bubblesort_2_ground.yml	false	TIMEOUT	300.98367287	301.03151360699985	919.695360
array-examples/sorting_bubblesort_ground-1.yml	true	TIMEOUT	301.077757919	301.10475746600014	924.299264
array-examples/sorting_bubblesort_ground-2.yml	false	TIMEOUT	301.063184535	301.0358186550002	927.420416
array-examples/sorting_selectionsort_2_ground.yml	false	TIMEOUT	300.105576068	301.07924370900037	1156.018176
array-examples/sorting_selectionsort_ground-1.yml	false	TIMEOUT	301.102777479	301.0841346240004	1215.369216
array-examples/sorting_selectionsort_ground-2.yml	true	TIMEOUT	301.104747341	301.08601671600036	1157.054464
array-examples/standard_allDiff2_ground.yml	false	TIMEOUT	301.10522358	301.0803663360002	1183.965184
array-examples/standard_compareModified_ground.yml	true	TIMEOUT	301.126900256	301.11355927099976	1542.385664
array-examples/standard_compare_ground.yml	true	TIMEOUT	301.086707727	301.01440868200007	1497.620480
array-examples/standard_copy1_ground-1.yml	true	TIMEOUT	301.239448883	301.0709884429998	2604.978176
array-examples/standard_copy1_ground-2.yml	false	TIMEOUT	301.254983172	301.014566284	3181.727744
array-examples/standard_copy2_ground-1.yml	false	TIMEOUT	301.291057699	301.1212821180002	3735.740416
array-examples/standard_copy2_ground-2.yml	true	TIMEOUT	301.285006445	301.0599215709999	3239.145472
array-examples/standard_copy3_ground-1.yml	true	TIMEOUT	301.322074079	301.04520906000016	3838.857216
array-examples/standard_copy3_ground-2.yml	false	TIMEOUT	301.321937537	301.07095064500027	4355.735552
array-examples/standard_copy4_ground-1.yml	true	TIMEOUT	301.405894749	301.0501780599998	4448.550912
array-examples/standard_copy4_ground-2.yml	false	TIMEOUT	301.377460921	301.0183971739998	4938.399744
array-examples/standard_copy5_ground-1.yml	true	OUT OF MEMORY	118.591850908	118.23739866900041	4999.999488
array-examples/standard_copy5_ground-2.yml	false	OUT OF MEMORY	115.089988104	114.80524962800018	4999.999488
array-examples/standard_copy6_ground-1.yml	false	OUT OF MEMORY	113.985399487	113.64285510900027	4999.999488
array-examples/standard_copy6_ground-2.yml	true	OUT OF MEMORY	117.098909531	116.80473221199964	4999.999488
array-examples/standard_copy7_ground-1.yml	false	OUT OF MEMORY	108.478575573	108.17542254299997	4999.999488
array-examples/standard_copy7_ground-2.yml	true	OUT OF MEMORY	116.848675431	116.54334234399994	4999.999488
array-examples/standard_copy8_ground-1.yml	true	OUT OF MEMORY	109.591036237	109.26480619899985	4999.999488
array-examples/standard_copy8_ground-2.yml	false	OUT OF MEMORY	107.531625447	107.22437409000031	4999.999488
array-examples/standard_copy9_ground-1.yml	false	OUT OF MEMORY	110.230354516	109.89925715200025	4999.999488
array-examples/standard_copy9_ground-2.yml	true	OUT OF MEMORY	110.972883258	110.71945159300003	4999.999488
array-examples/standard_copyInitSum2_ground-1.yml	false	TIMEOUT	301.112167196	301.02542370100036	2892.988416
array-examples/standard_copyInitSum2_ground-2.yml	true	TIMEOUT	301.241371117	301.03636981	3174.854656
array-examples/standard_copyInitSum3_ground.yml	true	TIMEOUT	301.331106279	301.0312791370002	3940.171776
array-examples/standard_copyInitSum_ground.yml	true	TIMEOUT	301.186803696	301.0245690659999	3185.446912
array-examples/standard_copyInit_ground.yml	true	TIMEOUT	301.169453546	301.0566881900004	2443.976704
array-examples/standard_find_ground-1.yml	true	OUT OF MEMORY	139.392731039	140.02285928599986	4999.999488
array-examples/standard_init1_ground-1.yml	false	TIMEOUT	301.1547467	301.02235211000016	1847.947264
array-examples/standard_init1_ground-2.yml	true	TIMEOUT	301.078910362	301.0149047970003	1847.848960
array-examples/standard_init2_ground-1.yml	false	TIMEOUT	301.185899077	301.03128799700016	2365.698048
array-examples/standard_init2_ground-2.yml	true	TIMEOUT	301.195515928	301.0338929970003	2365.612032
array-examples/standard_init3_ground-1.yml	false	TIMEOUT	301.185637765	301.0202328959999	2885.574656
array-examples/standard_init3_ground-2.yml	true	TIMEOUT	301.197532021	301.022655234	2885.574656
array-examples/standard_init4_ground-1.yml	false	TIMEOUT	301.284663855	301.0223206149999	3450.191872
array-examples/standard_init4_ground-2.yml	true	TIMEOUT	301.248531193	301.0210239109997	3450.142720
array-examples/standard_init5_ground-1.yml	true	TIMEOUT	301.413717692	301.01888328700034	3956.862976
array-examples/standard_init5_ground-2.yml	false	TIMEOUT	301.384473847	301.01812027200003	3956.785152
array-examples/standard_init6_ground-1.yml	false	TIMEOUT	301.366341742	301.023417419	4546.289664
array-examples/standard_init6_ground-2.yml	true	TIMEOUT	301.370770163	301.01787322400014	4546.367488
array-examples/standard_init7_ground-1.yml	false	OUT OF MEMORY	118.38826278	118.02339500400012	4999.999488
array-examples/standard_init7_ground-2.yml	true	OUT OF MEMORY	116.031081399	115.62842946399996	4999.999488
array-examples/standard_init8_ground-1.yml	false	OUT OF MEMORY	103.410749608	102.96439351500021	4999.999488
array-examples/standard_init8_ground-2.yml	true	OUT OF MEMORY	104.145287963	103.74296306500037	4999.999488
array-examples/standard_init9_ground-1.yml	false	OUT OF MEMORY	99.323191097	98.95477033499992	4999.999488
array-examples/standard_init9_ground-2.yml	true	OUT OF MEMORY	98.684185973	98.29144055799998	4999.999488
array-examples/standard_maxInArray_ground.yml	true	TIMEOUT	301.219004027	301.01681549099976	3455.471616
array-examples/standard_minInArray_ground-1.yml	false	TIMEOUT	301.276139049	303.3785185669999	3462.254592
array-examples/standard_minInArray_ground-2.yml	true	TIMEOUT	301.347802795	301.014693353	3462.193152
array-examples/standard_palindrome_ground.yml	true	TIMEOUT	301.107428401	301.01685931300017	1094.369280
array-examples/standard_partial_init_ground.yml	true	TIMEOUT	301.122665509	301.0173394640001	834.564096
array-examples/standard_partition_ground-1.yml	false	TIMEOUT	301.00200999	301.0166838240002	160.059392
array-examples/standard_partition_ground-2.yml	true	TIMEOUT	301.10712337	301.0190604120003	1137.291264
array-examples/standard_partition_original_ground.yml	true	TIMEOUT	301.121171684	301.0138785619997	1095.593984
array-examples/standard_password_ground.yml	true	TIMEOUT	301.31874813	301.01170618199967	3599.736832
array-examples/standard_reverse_ground.yml	true	TIMEOUT	301.193740712	301.01107309200006	2604.322816
array-examples/standard_running-1.yml	false	TIMEOUT	301.094457616	301.01287089900006	736.047104
array-examples/standard_running-2.yml	true	TIMEOUT	301.097571829	301.01892806000023	736.055296
array-examples/standard_sentinel-2.yml	true	OUT OF MEMORY	244.9459729	244.44960734000006	4999.999488
array-examples/standard_sentinel.i.v+cfa-reducer.yml	true	OUT OF MEMORY	239.724189293	239.21280964800007	4999.999488
array-examples/standard_seq_init_ground.yml	true	TIMEOUT	300.97425408	301.0292474700004	136.802304
array-examples/standard_strcmp_ground.yml	true	OUT OF MEMORY	175.625455607	175.26505266499998	4999.999488
array-examples/standard_strcpy_ground-1.yml	true	OUT OF MEMORY	142.347081482	141.91730856000004	4999.999488
array-examples/standard_strcpy_original-2.yml	true	OUT OF MEMORY	165.124559164	164.75026687299987	4999.999488
array-examples/standard_two_index_01.yml	true	TIMEOUT	301.116611805	301.09543039699975	900.288512
array-examples/standard_two_index_02.yml	true	TIMEOUT	301.130224075	301.1107851400002	902.979584
array-examples/standard_two_index_03.yml	true	TIMEOUT	301.135594517	301.12513665200004	900.288512
array-examples/standard_two_index_04.yml	true	TIMEOUT	301.188040467	301.23641089999956	900.415488
array-examples/standard_two_index_05.yml	true	TIMEOUT	301.190244234	301.1651080860006	900.194304
array-examples/standard_two_index_06.yml	true	TIMEOUT	301.184781184	301.14401396799985	877.572096
array-examples/standard_two_index_07.yml	true	TIMEOUT	301.186759841	301.1355843860006	882.708480
array-examples/standard_two_index_08.yml	true	TIMEOUT	301.147542254	301.1433098950006	900.349952
array-examples/standard_two_index_09.yml	true	TIMEOUT	301.051951001	301.1393062249999	900.452352
array-examples/standard_vararg_ground.yml	true	OUT OF MEMORY	140.711432215	140.19223312299982	4999.999488
array-examples/standard_vector_difference_ground.yml	true	TIMEOUT	301.381546815	301.01855544799946	3429.289984
array-industry-pattern/array_assert_loop_dep.yml	false	OUT OF MEMORY	138.376258185	137.74778139800037	4999.999488
array-industry-pattern/array_monotonic.yml	true	TIMEOUT	301.007567809	301.0244166749999	138.625024
array-industry-pattern/array_mul_init.yml	true	TIMEOUT	301.159219119	301.0162073079996	1047.277568
array-industry-pattern/array_of_struct_break.yml	true	OUT OF MEMORY	93.979305009	93.38120367999954	4999.999488
array-industry-pattern/array_of_struct_loop_dep.yml	false	OUT OF MEMORY	274.964238052	274.3304366520001	4999.999488
array-industry-pattern/array_of_struct_ptr_cond_init.yml	true	TIMEOUT	301.545457334	301.0207916520003	742.100992
array-industry-pattern/array_of_struct_ptr_flag_init.yml	true	TIMEOUT	301.18463047	301.02465432300005	266.633216
array-industry-pattern/array_of_struct_ptr_monotonic.yml	true	TIMEOUT	301.176693661	301.0284423860003	467.656704
array-industry-pattern/array_of_struct_ptr_mul_init.yml	true	TIMEOUT	301.264937871	301.02084782899965	1077.395456
array-industry-pattern/array_of_struct_single_elem_init.yml	true	TIMEOUT	301.206276107	301.02030406500035	688.971776
array-industry-pattern/array_ptr_partial_init.yml	true	TIMEOUT	301.136386717	301.019063664	331.931648
array-industry-pattern/array_ptr_single_elem_init-1.yml	true	TIMEOUT	301.266639539	301.02907896199986	914.817024
array-industry-pattern/array_ptr_single_elem_init-2.yml	false	TIMEOUT	301.226608637	301.01710277999973	577.163264
array-industry-pattern/array_range_init.yml	false	TIMEOUT	301.476281683	301.021389087	1904.312320
array-industry-pattern/array_shadowinit.yml	true	TIMEOUT	300.96357181	301.02072466799973	37.609472
array-industry-pattern/array_single_elem_init.yml	false	TIMEOUT	301.012355591	301.0449132470003	576.319488
array-industry-pattern/check_removal_from_set_after_insertion.yml	false	TIMEOUT	301.33454302	301.1728681610002	974.888960
reducercommutativity/avg05-1.yml	true	true	80.267051646	80.28357217400026	86.990848
reducercommutativity/avg10-2.yml	true	TIMEOUT	301.032978595	301.02519184299945	131.493888
reducercommutativity/avg20-2.yml	true	TIMEOUT	301.005009225	301.0163185299998	151.756800
reducercommutativity/avg40-2.yml	true	TIMEOUT	301.021100981	301.0196665459998	174.276608
