benchmarks	CTRL	status	cputime(s)	walltime(s)	memory(MB)
array-examples/data_structures_set_multi_proc_ground-1.yml	false	TIMEOUT	301.22438498	301.02113438298693	1697.320960
array-examples/data_structures_set_multi_proc_ground-2.yml	true	TIMEOUT	301.124818196	301.0169094480225	1495.031808
array-examples/data_structures_set_multi_proc_trivial_ground.yml	true	TIMEOUT	301.54747192	301.0401185809751	3224.555520
array-examples/relax-2-2.yml	true	TIMEOUT	301.00032478	301.01846241299063	95.989760
array-examples/sanfoundry_02_ground.yml	true	OUT OF MEMORY	131.007519328	130.64156175398966	4999.999488
array-examples/sanfoundry_10_ground.yml	true	TIMEOUT	301.08791567	301.1060425940086	786.198528
array-examples/sanfoundry_24-1.yml	true	TIMEOUT	301.010401435	301.0186470079934	174.239744
array-examples/sanfoundry_27_ground.yml	true	TIMEOUT	301.64710134	301.0301280450076	4138.344448
array-examples/sanfoundry_43_ground.yml	true	TIMEOUT	301.361475294	301.0177256059833	3327.541248
array-examples/sorting_bubblesort_2_ground.yml	false	TIMEOUT	301.252223962	306.08272611297434	2790.154240
array-examples/sorting_bubblesort_ground-1.yml	true	TIMEOUT	301.506502885	301.0127684590407	2790.146048
array-examples/sorting_bubblesort_ground-2.yml	false	TIMEOUT	301.50844119	301.02180063404376	2790.092800
array-examples/sorting_selectionsort_2_ground.yml	false	TIMEOUT	301.342901765	301.0185223729932	1446.989824
array-examples/sorting_selectionsort_ground-1.yml	false	TIMEOUT	301.274370109	301.01599485595943	1962.102784
array-examples/sorting_selectionsort_ground-2.yml	true	TIMEOUT	301.16782543	301.0345739669865	1474.338816
array-examples/standard_allDiff2_ground.yml	false	TIMEOUT	301.185617432	301.02754092396935	1485.348864
array-examples/standard_compareModified_ground.yml	true	TIMEOUT	301.378307684	301.01484049501596	1889.714176
array-examples/standard_compare_ground.yml	true	TIMEOUT	301.328405711	301.0432731800247	1730.441216
array-examples/standard_copy1_ground-1.yml	true	TIMEOUT	301.48282845	301.0207163079758	2858.545152
array-examples/standard_copy1_ground-2.yml	false	TIMEOUT	301.512032373	301.0168898109696	3451.527168
array-examples/standard_copy2_ground-1.yml	false	TIMEOUT	301.597993062	301.03244857204845	4076.924928
array-examples/standard_copy2_ground-2.yml	true	TIMEOUT	301.540758247	301.04222695803037	3563.384832
array-examples/standard_copy3_ground-1.yml	true	TIMEOUT	301.587262614	301.0282101879711	4233.617408
array-examples/standard_copy3_ground-2.yml	false	TIMEOUT	301.555850481	301.05330363998655	4767.498240
array-examples/standard_copy4_ground-1.yml	true	TIMEOUT	301.553751405	301.0296438590158	4913.815552
array-examples/standard_copy4_ground-2.yml	false	OUT OF MEMORY	100.223722441	99.75134152401006	4999.999488
array-examples/standard_copy5_ground-1.yml	true	OUT OF MEMORY	99.718218635	99.42913290398428	4999.999488
array-examples/standard_copy5_ground-2.yml	false	OUT OF MEMORY	104.537117364	104.14455126802204	4999.999488
array-examples/standard_copy6_ground-1.yml	false	OUT OF MEMORY	104.591838638	104.17674643802457	4999.999488
array-examples/standard_copy6_ground-2.yml	true	OUT OF MEMORY	104.901105803	104.49901810800657	4999.999488
array-examples/standard_copy7_ground-1.yml	false	OUT OF MEMORY	101.660441593	101.21956728998339	4999.999488
array-examples/standard_copy7_ground-2.yml	true	OUT OF MEMORY	102.947144089	102.58430202800082	4999.999488
array-examples/standard_copy8_ground-1.yml	true	OUT OF MEMORY	101.358124981	101.01507105503697	4999.999488
array-examples/standard_copy8_ground-2.yml	false	OUT OF MEMORY	100.134117628	99.65680270903977	4999.999488
array-examples/standard_copy9_ground-1.yml	false	OUT OF MEMORY	88.136195109	87.68290410900954	4999.999488
array-examples/standard_copy9_ground-2.yml	true	OUT OF MEMORY	97.703588084	97.29156468005385	4999.999488
array-examples/standard_copyInitSum2_ground-1.yml	false	TIMEOUT	301.361134175	301.0310929560219	3241.242624
array-examples/standard_copyInitSum2_ground-2.yml	true	TIMEOUT	301.312689379	301.01838490203954	3523.096576
array-examples/standard_copyInitSum3_ground.yml	true	TIMEOUT	301.444782172	301.0223823310225	4378.279936
array-examples/standard_copyInitSum_ground.yml	true	TIMEOUT	301.363890163	301.025934987003	3533.733888
array-examples/standard_copyInit_ground.yml	true	TIMEOUT	301.240649889	301.0178029949893	2677.035008
array-examples/standard_find_ground-1.yml	true	OUT OF MEMORY	139.193910973	138.7765370499692	4999.999488
array-examples/standard_init1_ground-1.yml	false	TIMEOUT	301.214337609	301.0214194119908	2010.398720
array-examples/standard_init1_ground-2.yml	true	TIMEOUT	301.17402737	301.02017539704684	2010.243072
array-examples/standard_init2_ground-1.yml	false	TIMEOUT	300.749517991	301.0495293579879	2579.476480
array-examples/standard_init2_ground-2.yml	true	TIMEOUT	301.145888049	301.0257326660212	2579.492864
array-examples/standard_init3_ground-1.yml	false	TIMEOUT	301.203186334	301.04200601403136	3150.626816
array-examples/standard_init3_ground-2.yml	true	TIMEOUT	301.181766475	301.0438295369968	3150.602240
array-examples/standard_init4_ground-1.yml	false	TIMEOUT	301.252302651	301.0313221300021	3766.554624
array-examples/standard_init4_ground-2.yml	true	TIMEOUT	301.242386329	301.02543714497006	3766.489088
array-examples/standard_init5_ground-1.yml	true	TIMEOUT	301.382034861	306.2987676800112	4324.671488
array-examples/standard_init5_ground-2.yml	false	TIMEOUT	301.344488465	301.017487197998	4324.569088
array-examples/standard_init6_ground-1.yml	false	TIMEOUT	301.447580232	301.03476753499126	4965.371904
array-examples/standard_init6_ground-2.yml	true	TIMEOUT	301.472319771	301.0158343850053	4965.314560
array-examples/standard_init7_ground-1.yml	false	OUT OF MEMORY	100.560934601	100.1171304610325	4999.999488
array-examples/standard_init7_ground-2.yml	true	OUT OF MEMORY	101.548722669	101.16854078700999	4999.999488
array-examples/standard_init8_ground-1.yml	false	OUT OF MEMORY	95.977494857	95.58475058799377	4999.999488
array-examples/standard_init8_ground-2.yml	true	OUT OF MEMORY	100.642258587	100.28828486800194	4999.999488
