benchmarks	CTRL	status	cputime(s)	walltime(s)	memory(MB)
array-examples/data_structures_set_multi_proc_ground-1.yml	false	TIMEOUT	301.141776601	301.0213765059598	1580.371968
array-examples/data_structures_set_multi_proc_ground-2.yml	true	TIMEOUT	301.141628702	301.02462716191076	1361.383424
array-examples/data_structures_set_multi_proc_trivial_ground.yml	true	TIMEOUT	301.327286569	302.8662919329945	2768.154624
array-examples/relax-2-2.yml	true	TIMEOUT	301.011881015	301.04676626599394	95.920128
array-examples/sanfoundry_02_ground.yml	true	OUT OF MEMORY	115.563114379	115.10494446614757	4999.999488
array-examples/sanfoundry_10_ground.yml	true	TIMEOUT	300.204110252	301.098818636965	807.960576
array-examples/sanfoundry_24-1.yml	true	TIMEOUT	301.018501329	301.02092958195135	173.666304
array-examples/sanfoundry_27_ground.yml	true	TIMEOUT	301.498290318	301.0163012279663	3992.670208
array-examples/sanfoundry_43_ground.yml	true	TIMEOUT	301.318860951	301.02582503692247	3248.791552
array-examples/sorting_bubblesort_2_ground.yml	false	TIMEOUT	301.252219886	302.0514816441573	2753.396736
array-examples/sorting_bubblesort_ground-1.yml	true	TIMEOUT	301.36571687	301.0438937910367	2753.396736
array-examples/sorting_bubblesort_ground-2.yml	false	TIMEOUT	301.333566904	301.0194276908878	2753.413120
array-examples/sorting_selectionsort_2_ground.yml	false	TIMEOUT	301.168208307	301.04576145508327	1544.953856
array-examples/sorting_selectionsort_ground-1.yml	false	TIMEOUT	301.152180088	302.2943125339225	1965.887488
array-examples/sorting_selectionsort_ground-2.yml	true	TIMEOUT	301.178908481	301.0498015880585	1563.594752
array-examples/standard_allDiff2_ground.yml	false	TIMEOUT	301.241491417	301.0299164049793	1576.038400
array-examples/standard_compareModified_ground.yml	true	TIMEOUT	301.244608692	301.02497734711505	1900.240896
array-examples/standard_compare_ground.yml	true	TIMEOUT	301.203314846	301.0339877088554	1739.059200
array-examples/standard_copy1_ground-1.yml	true	TIMEOUT	301.308617587	301.0338086441625	2791.157760
array-examples/standard_copy1_ground-2.yml	false	TIMEOUT	301.378494956	301.0659951749258	3384.143872
array-examples/standard_copy2_ground-1.yml	false	TIMEOUT	301.386270569	301.03331251302734	3974.152192
array-examples/standard_copy2_ground-2.yml	true	TIMEOUT	301.461051536	301.06549567799084	3461.619712
array-examples/standard_copy3_ground-1.yml	true	TIMEOUT	301.456750815	301.0286473450251	4096.790528
array-examples/standard_copy3_ground-2.yml	false	TIMEOUT	301.395065106	301.0190924149938	4629.676032
array-examples/standard_copy4_ground-1.yml	true	TIMEOUT	301.414008286	301.01620926102623	4741.636096
array-examples/standard_copy4_ground-2.yml	false	OUT OF MEMORY	94.822908118	94.47755838395096	4999.999488
array-examples/standard_copy5_ground-1.yml	true	OUT OF MEMORY	98.749201557	98.38838621322066	4999.999488
array-examples/standard_copy5_ground-2.yml	false	OUT OF MEMORY	97.095257743	96.68057177611627	4999.999488
array-examples/standard_copy6_ground-1.yml	false	OUT OF MEMORY	98.157850848	97.72444985900074	4999.999488
array-examples/standard_copy6_ground-2.yml	true	OUT OF MEMORY	98.592760449	98.25934328697622	4999.999488
array-examples/standard_copy7_ground-1.yml	false	OUT OF MEMORY	99.940321184	99.47532993997447	4999.999488
array-examples/standard_copy7_ground-2.yml	true	OUT OF MEMORY	100.93271982	100.53123642713763	4999.999488
array-examples/standard_copy8_ground-1.yml	true	OUT OF MEMORY	99.999378046	99.57434109901078	4999.999488
array-examples/standard_copy8_ground-2.yml	false	OUT OF MEMORY	102.747066959	102.41365090198815	4999.999488
array-examples/standard_copy9_ground-1.yml	false	OUT OF MEMORY	93.552854101	93.19799034995958	4999.999488
array-examples/standard_copy9_ground-2.yml	true	OUT OF MEMORY	100.218866329	99.87422171002254	4999.999488
array-examples/standard_copyInitSum2_ground-1.yml	false	TIMEOUT	301.212645159	301.0223900619894	3133.669376
array-examples/standard_copyInitSum2_ground-2.yml	true	TIMEOUT	301.305843541	301.01605588709936	3415.666688
array-examples/standard_copyInitSum3_ground.yml	true	TIMEOUT	301.368571554	301.0231593619101	4230.541312
array-examples/standard_copyInitSum_ground.yml	true	TIMEOUT	301.387985341	301.0182679919526	3432.558592
array-examples/standard_copyInit_ground.yml	true	TIMEOUT	301.215600254	301.0165016041137	2609.549312
array-examples/standard_find_ground-1.yml	true	OUT OF MEMORY	142.26285444	141.86124823219143	4999.999488
array-examples/standard_init1_ground-1.yml	false	TIMEOUT	301.263940627	301.02474608202465	1978.593280
array-examples/standard_init1_ground-2.yml	true	TIMEOUT	301.249289272	301.0192011271138	1978.560512
array-examples/standard_init2_ground-1.yml	false	TIMEOUT	301.283885254	301.0156729591545	2517.315584
array-examples/standard_init2_ground-2.yml	true	TIMEOUT	301.30918612	301.06559010688215	2517.372928
array-examples/standard_init3_ground-1.yml	false	TIMEOUT	301.302508089	301.02188523695804	3057.967104
array-examples/standard_init3_ground-2.yml	true	TIMEOUT	301.28749195	301.02324590389617	3057.913856
array-examples/standard_init4_ground-1.yml	false	TIMEOUT	300.662347016	301.04135497496463	3643.441152
array-examples/standard_init4_ground-2.yml	true	TIMEOUT	301.352228465	301.0440707488451	3643.441152
array-examples/standard_init5_ground-1.yml	true	TIMEOUT	301.322064985	301.02229463285767	4171.345920
array-examples/standard_init5_ground-2.yml	false	TIMEOUT	301.33500888	301.0192034682259	4171.042816
