category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_ground-1.yml	False	TIMEOUT	301.08716956	1342.038016	TIMEOUT	301.141776601	1580.371968	TIMEOUT	301.364526166	1577.885696	TIMEOUT	301.285153653	1608.286208
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_ground-2.yml	True	TIMEOUT	301.029167299	1141.00224	TIMEOUT	301.141628702	1361.383424	TIMEOUT	301.288113063	1366.724608	TIMEOUT	301.282689768	1425.42848
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_trivial_ground.yml	True	TIMEOUT	301.092179733	1262.047232	TIMEOUT	301.327286569	2768.154624	TIMEOUT	301.591004168	3071.070208	TIMEOUT	301.731566506	3218.010112
ReachSafety-Arrays	array-examples	relax-2-2.yml	True	TIMEOUT	301.006365819	100.909056	TIMEOUT	301.011881015	95.920128	TIMEOUT	301.027966274	95.543296	TIMEOUT	300.971067101	96.292864
ReachSafety-Arrays	array-examples	sanfoundry_02_ground.yml	True	OUT OF MEMORY	123.687769007	4999.999488	OUT OF MEMORY	115.563114379	4999.999488	OUT OF MEMORY	123.035372554	4999.999488	OUT OF MEMORY	136.377072104	4999.999488
ReachSafety-Arrays	array-examples	sanfoundry_10_ground.yml	True	TIMEOUT	300.389572128	837.738496	TIMEOUT	300.204110252	807.960576	TIMEOUT	301.040069256	758.874112	TIMEOUT	301.11463819	781.59872
ReachSafety-Arrays	array-examples	sanfoundry_24-1.yml	True	TIMEOUT	301.070138512	201.744384	TIMEOUT	301.018501329	173.666304	TIMEOUT	301.065841127	173.576192	TIMEOUT	301.003427546	174.174208
ReachSafety-Arrays	array-examples	sanfoundry_27_ground.yml	True	TIMEOUT	301.288970613	3455.418368	TIMEOUT	301.498290318	3992.670208	TIMEOUT	301.899560364	3992.600576	TIMEOUT	301.648816408	3993.174016
ReachSafety-Arrays	array-examples	sanfoundry_43_ground.yml	True	TIMEOUT	301.234718353	3096.59648	TIMEOUT	301.318860951	3248.791552	TIMEOUT	301.835530661	3247.734784	TIMEOUT	301.750798053	3239.858176
ReachSafety-Arrays	array-examples	sorting_bubblesort_2_ground.yml	False	TIMEOUT	300.98367287	919.69536	TIMEOUT	301.252219886	2753.396736	TIMEOUT	301.653782009	2763.12064	TIMEOUT	301.454880916	2812.448768
ReachSafety-Arrays	array-examples	sorting_bubblesort_ground-1.yml	True	TIMEOUT	301.077757919	924.299264	TIMEOUT	301.36571687	2753.396736	TIMEOUT	301.215087253	2762.985472	TIMEOUT	301.613484363	2812.53888
ReachSafety-Arrays	array-examples	sorting_bubblesort_ground-2.yml	False	TIMEOUT	301.063184535	927.420416	TIMEOUT	301.333566904	2753.41312	TIMEOUT	301.71122561	2763.091968	TIMEOUT	301.62737673	2812.424192
ReachSafety-Arrays	array-examples	sorting_selectionsort_2_ground.yml	False	TIMEOUT	300.105576068	1156.018176	TIMEOUT	301.168208307	1544.953856	TIMEOUT	301.4072206	1546.1376	TIMEOUT	301.279934982	1469.31712
ReachSafety-Arrays	array-examples	sorting_selectionsort_ground-1.yml	False	TIMEOUT	301.102777479	1215.369216	TIMEOUT	301.152180088	1965.887488	TIMEOUT	301.496665562	1968.984064	TIMEOUT	301.461006991	1998.598144
ReachSafety-Arrays	array-examples	sorting_selectionsort_ground-2.yml	True	TIMEOUT	301.104747341	1157.054464	TIMEOUT	301.178908481	1563.594752	TIMEOUT	301.399989466	1528.336384	TIMEOUT	301.254682073	1509.691392
ReachSafety-Arrays	array-examples	standard_allDiff2_ground.yml	False	TIMEOUT	301.10522358	1183.965184	TIMEOUT	301.241491417	1576.0384	TIMEOUT	300.829846679	1540.431872	TIMEOUT	301.366453894	1492.107264
ReachSafety-Arrays	array-examples	standard_compareModified_ground.yml	True	TIMEOUT	301.126900256	1542.385664	TIMEOUT	301.244608692	1900.240896	TIMEOUT	301.458650414	1861.951488	TIMEOUT	301.334331384	1863.753728
ReachSafety-Arrays	array-examples	standard_compare_ground.yml	True	TIMEOUT	301.086707727	1497.62048	TIMEOUT	301.203314846	1739.0592	TIMEOUT	301.445405956	1727.254528	TIMEOUT	301.384114313	1733.697536
ReachSafety-Arrays	array-examples	standard_copy1_ground-1.yml	True	TIMEOUT	301.239448883	2604.978176	TIMEOUT	301.308617587	2791.15776	TIMEOUT	301.207189139	2791.17824	TIMEOUT	301.217068085	2791.657472
ReachSafety-Arrays	array-examples	standard_copy1_ground-2.yml	False	TIMEOUT	301.254983172	3181.727744	TIMEOUT	301.378494956	3384.143872	TIMEOUT	301.784871387	3384.193024	TIMEOUT	301.415261518	3384.705024
ReachSafety-Arrays	array-examples	standard_copy2_ground-1.yml	False	TIMEOUT	301.291057699	3735.740416	TIMEOUT	301.386270569	3974.152192	TIMEOUT	301.713893765	3974.176768	TIMEOUT	301.526717563	3974.61504
ReachSafety-Arrays	array-examples	standard_copy2_ground-2.yml	True	TIMEOUT	301.285006445	3239.145472	TIMEOUT	301.461051536	3461.619712	TIMEOUT	301.716212466	3461.701632	TIMEOUT	301.579807309	3462.254592
