category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Loops	nla-digbench	divbin.yml	False	false(unreach-call)	4.155020538	36.626432	TIMEOUT	900.973228196	36.265984	TIMEOUT	901.075078801	1067.659264
ReachSafety-Loops	nla-digbench	dijkstra-u.yml	True	TIMEOUT	901.043880333	398.35648	TIMEOUT	901.003933307	36.835328	TIMEOUT	901.026561788	388.624384
ReachSafety-Loops	nla-digbench	divbin2.yml	True	TIMEOUT	900.98466456	85.843968	TIMEOUT	900.98413678	35.086336	TIMEOUT	901.122572643	1014.280192
ReachSafety-Loops	nla-digbench	knuth.yml	True	TIMEOUT	900.997945313	111.775744	TIMEOUT	901.008656245	117.833728	TIMEOUT	901.002117507	119.865344
ReachSafety-Loops	nla-digbench-scaling	knuth_valuebound2.yml	True	true	0.29017047	34.033664	true	0.312869168	33.988608	true	0.376015863	34.668544
ReachSafety-Loops	nla-digbench-scaling	knuth_valuebound10.yml	True	true	8.128786199	66.035712	true	7.656453825	65.114112	true	7.485795472	64.700416
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound1.yml	True	true	0.267665229	33.378304	TIMEOUT	900.996522022	36.22912	TIMEOUT	901.064325239	1063.501824
ReachSafety-Loops	nla-digbench-scaling	divbin2_valuebound5.yml	True	true	0.343336525	34.336768	TIMEOUT	900.999240916	34.967552	TIMEOUT	901.08884672	1006.94016
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound10.yml	True	true	0.535685041	35.811328	TIMEOUT	900.956085951	36.261888	TIMEOUT	901.068747787	1070.08
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound5.yml	True	true	0.517195914	35.827712	TIMEOUT	900.980875423	36.306944	TIMEOUT	901.10923089	1060.196352
ReachSafety-Loops	nla-digbench-scaling	divbin_unwindbound20.yml	False	false(unreach-call)	4.593975206	36.769792	TIMEOUT	900.951696994	36.569088	TIMEOUT	901.00795522	878.637056
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound100.yml	True	true	3.30907062	39.15776	TIMEOUT	900.960130274	36.22912	TIMEOUT	901.01122292	1067.352064
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound20.yml	True	true	0.98492821	37.380096	TIMEOUT	900.99662488	36.5568	TIMEOUT	901.148767352	1071.976448
ReachSafety-Loops	nla-digbench-scaling	divbin2_valuebound20.yml	True	true	0.608033658	36.286464	TIMEOUT	900.969357784	35.229696	TIMEOUT	901.105593422	1014.841344
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound50.yml	True	true	1.226732255	36.397056	TIMEOUT	901.001422436	36.298752	TIMEOUT	901.092505182	1069.625344
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound2.yml	True	true	0.262036751	33.517568	TIMEOUT	900.997181096	36.245504	TIMEOUT	901.142540659	1075.15904
ReachSafety-Loops	nla-digbench-scaling	divbin2_valuebound100.yml	True	true	0.96647291	38.146048	TIMEOUT	900.997748299	35.086336	TIMEOUT	901.117457866	1011.400704
