tool		ESBMC 	ESBMC 	ESBMC 	ESBMC 
run set		Contractor.Contractor	Contractor.Contractor	Contractor.Contractor	Contractor.Contractor
../sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)
nla-digbench/divbin.yml	false	false(unreach-call)	4.649994374	4.678778950939886	36.569088
nla-digbench/dijkstra-u.yml	true	TIMEOUT	901.009068862	901.0350806730567	398.454784
nla-digbench/divbin2.yml	true	TIMEOUT	900.952072469	901.0191629290348	85.778432
nla-digbench/knuth.yml	true	TIMEOUT	901.004121223	901.0392437040573	111.767552
nla-digbench-scaling/knuth_valuebound2.yml	true	true	0.710852867	0.7328802678966895	34.021376
nla-digbench-scaling/knuth_valuebound10.yml	true	true	8.492013732	8.540180190000683	65.966080
nla-digbench-scaling/divbin_valuebound1.yml	true	true	0.437304668	0.48806721495930105	33.411072
nla-digbench-scaling/divbin2_valuebound5.yml	true	true	0.787668261	0.7978158720070496	34.230272
nla-digbench-scaling/divbin_valuebound10.yml	true	true	0.75948189	0.8217416959814727	35.827712
nla-digbench-scaling/divbin_valuebound5.yml	true	true	0.778338657	0.8142136960523203	35.860480
nla-digbench-scaling/divbin_unwindbound20.yml	false	false(unreach-call)	4.662432101	4.67246483406052	36.773888
nla-digbench-scaling/divbin_valuebound100.yml	true	true	3.525723595	3.5433485980611295	39.264256
nla-digbench-scaling/divbin_valuebound20.yml	true	true	0.977424439	0.9945753290085122	37.289984
nla-digbench-scaling/divbin2_valuebound20.yml	true	true	0.58979982	0.5957690930226818	36.405248
nla-digbench-scaling/divbin_valuebound50.yml	true	true	1.268681332	1.2759901380632073	36.392960
nla-digbench-scaling/divbin_valuebound2.yml	true	true	0.267717072	0.28036634903401136	33.443840
nla-digbench-scaling/divbin2_valuebound100.yml	true	true	1.032708673	1.0386125770164654	38.043648
nla-digbench-scaling/divbin2_valuebound10.yml	true	true	0.353871963	0.3611844819970429	34.267136
nla-digbench-scaling/divbin2_valuebound50.yml	true	true	0.595948819	0.606590770999901	36.044800
nla-digbench-scaling/divbin_unwindbound2.yml	true	true	0.237534133	0.2500281280372292	33.435648
nla-digbench-scaling/divbin_unwindbound5.yml	true	true	9.588729826	9.598009584005922	39.571456
nla-digbench-scaling/divbin_unwindbound1.yml	true	true	0.225785007	0.23403007199522108	33.341440
nla-digbench-scaling/divbin2_valuebound1.yml	true	true	0.245658891	0.2510829489910975	33.423360
nla-digbench-scaling/divbin2_valuebound2.yml	true	true	0.203898316	0.2091503069968894	33.431552
nla-digbench-scaling/divbin_unwindbound100.yml	false	false(unreach-call)	4.59421325	4.5999528570100665	37.195776
nla-digbench-scaling/divbin_unwindbound10.yml	false	false(unreach-call)	4.739234124	4.756022652960382	36.831232
nla-digbench-scaling/knuth_unwindbound10.yml	true	TIMEOUT	900.914156556	901.0131982599851	108.482560
nla-digbench-scaling/divbin_unwindbound50.yml	false	false(unreach-call)	4.561731002	4.566891543916427	37.183488
nla-digbench-scaling/knuth_unwindbound50.yml	true	TIMEOUT	900.996477071	901.021535258973	109.367296
nla-digbench-scaling/knuth_unwindbound1.yml	true	TIMEOUT	900.822032229	901.0152903679991	112.857088
nla-digbench-scaling/knuth_unwindbound20.yml	true	TIMEOUT	900.977070928	901.0391139040003	113.360896
nla-digbench-scaling/knuth_unwindbound2.yml	true	TIMEOUT	900.89458823	901.0175540240016	116.330496
nla-digbench-scaling/knuth_unwindbound5.yml	true	TIMEOUT	900.977412493	901.0132756369421	111.702016
nla-digbench-scaling/knuth_unwindbound100.yml	true	TIMEOUT	901.004802918	901.0178717849776	120.233984
nla-digbench-scaling/knuth_valuebound5.yml	true	true	1.704612452	1.7183974690269679	45.694976
nla-digbench-scaling/knuth_valuebound100.yml	true	true	68.120234741	68.13272066891659	91.209728
nla-digbench-scaling/knuth_valuebound20.yml	true	true	10.384048987	10.39099228195846	68.149248
