benchmarks	CTRL	status	cputime(s)	walltime(s)	memory(MB)
array-examples/data_structures_set_multi_proc_ground-1.yml	false	TIMEOUT	301.351901601	301.0403265809873	1622.671360
array-examples/data_structures_set_multi_proc_ground-2.yml	true	TIMEOUT	301.434787285	301.01886727591045	1433.952256
array-examples/data_structures_set_multi_proc_trivial_ground.yml	true	TIMEOUT	301.771043796	301.0188155330252	2768.089088
array-examples/relax-2-2.yml	true	TIMEOUT	301.04111837	301.0345988300396	95.293440
array-examples/sanfoundry_02_ground.yml	true	OUT OF MEMORY	127.24790232	126.9010991989635	4999.999488
array-examples/sanfoundry_10_ground.yml	true	TIMEOUT	301.114539266	301.0926827179501	768.802816
array-examples/sanfoundry_24-1.yml	true	TIMEOUT	301.040042708	301.0352726620622	173.662208
array-examples/sanfoundry_27_ground.yml	true	TIMEOUT	301.984475097	301.0393967659911	4137.779200
array-examples/sanfoundry_43_ground.yml	true	TIMEOUT	301.972762082	301.02069531800225	3327.672320
array-examples/sorting_bubblesort_2_ground.yml	false	TIMEOUT	301.826254659	301.05610324197914	2729.328640
array-examples/sorting_bubblesort_ground-1.yml	true	TIMEOUT	301.712747403	301.0291988910176	2729.324544
array-examples/sorting_bubblesort_ground-2.yml	false	TIMEOUT	301.758089686	301.01906205003615	2729.414656
array-examples/sorting_selectionsort_2_ground.yml	false	TIMEOUT	301.492235434	301.0535050070612	1483.988992
array-examples/sorting_selectionsort_ground-1.yml	false	TIMEOUT	301.644631428	301.02188078290783	1892.007936
array-examples/sorting_selectionsort_ground-2.yml	true	TIMEOUT	301.447176413	301.0159054689575	1541.320704
array-examples/standard_allDiff2_ground.yml	false	TIMEOUT	301.483662214	301.02422094601206	1555.910656
array-examples/standard_compareModified_ground.yml	true	TIMEOUT	300.619670504	301.0221007729415	1851.871232
array-examples/standard_compare_ground.yml	true	TIMEOUT	301.584974487	301.0149105050368	1695.526912
array-examples/standard_copy1_ground-1.yml	true	TIMEOUT	301.723932582	301.0589748310158	2857.979904
array-examples/standard_copy1_ground-2.yml	false	TIMEOUT	301.847503966	301.0245867869817	3450.998784
array-examples/standard_copy2_ground-1.yml	false	TIMEOUT	301.813255308	301.0610175229376	4076.400640
array-examples/standard_copy2_ground-2.yml	true	TIMEOUT	301.837290507	301.03109947405756	3562.860544
array-examples/standard_copy3_ground-1.yml	true	TIMEOUT	301.83457464	301.0319996079197	4233.187328
array-examples/standard_copy3_ground-2.yml	false	TIMEOUT	301.947243378	301.0180844810093	4766.945280
array-examples/standard_copy4_ground-1.yml	true	TIMEOUT	301.901587189	301.0164565939922	4913.221632
array-examples/standard_copy4_ground-2.yml	false	OUT OF MEMORY	104.628903148	103.94093657808844	4999.999488
array-examples/standard_copy5_ground-1.yml	true	OUT OF MEMORY	103.600642779	103.2678923800122	4999.999488
