benchmarks	CTRL	status	cputime(s)	walltime(s)	memory(MB)
array-examples/data_structures_set_multi_proc_ground-1.yml	false	TIMEOUT	301.135115927	301.02847921894863	1663.594496
array-examples/data_structures_set_multi_proc_ground-2.yml	true	TIMEOUT	301.18744602	301.0192584320903	1482.989568
array-examples/data_structures_set_multi_proc_trivial_ground.yml	true	TIMEOUT	301.700085244	301.01601093797944	3224.571904
array-examples/relax-2-2.yml	true	TIMEOUT	301.013183309	301.0357542349957	97.333248
array-examples/sanfoundry_02_ground.yml	true	OUT OF MEMORY	139.444513261	139.07099941500928	4999.999488
array-examples/sanfoundry_10_ground.yml	true	TIMEOUT	301.142997107	301.12089011305943	764.936192
array-examples/sanfoundry_24-1.yml	true	TIMEOUT	301.01728899	301.0112482140539	174.153728
array-examples/sanfoundry_27_ground.yml	true	TIMEOUT	301.776997551	301.0183475239901	4138.344448
array-examples/sanfoundry_43_ground.yml	true	TIMEOUT	301.767529194	301.01742261101026	3394.109440
array-examples/sorting_bubblesort_2_ground.yml	false	TIMEOUT	301.635433135	301.02311754995026	2790.031360
array-examples/sorting_bubblesort_ground-1.yml	true	TIMEOUT	301.60783051	301.01478759001475	2790.027264
array-examples/sorting_bubblesort_ground-2.yml	false	TIMEOUT	301.630075296	301.08735539903864	2790.125568
array-examples/sorting_selectionsort_2_ground.yml	false	TIMEOUT	301.438829922	301.04086305596866	1417.162752
array-examples/sorting_selectionsort_ground-1.yml	false	TIMEOUT	301.533717342	301.03862384695094	1962.131456
array-examples/sorting_selectionsort_ground-2.yml	true	TIMEOUT	301.476369806	301.0135189220309	1473.175552
array-examples/standard_allDiff2_ground.yml	false	TIMEOUT	301.416234528	301.0171353230253	1471.369216
array-examples/standard_compareModified_ground.yml	true	TIMEOUT	300.676490231	301.0508656890597	1819.860992
array-examples/standard_compare_ground.yml	true	TIMEOUT	301.457661143	301.03293252096046	1693.323264
array-examples/standard_copy1_ground-1.yml	true	TIMEOUT	301.655438375	301.05313357000705	2858.487808
array-examples/standard_copy1_ground-2.yml	false	TIMEOUT	301.624574636	301.0469855120173	3451.494400
array-examples/standard_copy2_ground-1.yml	false	TIMEOUT	301.814736044	301.0200421040645	4076.904448
array-examples/standard_copy2_ground-2.yml	true	TIMEOUT	301.695758453	301.04164078994654	3563.397120
array-examples/standard_copy3_ground-1.yml	true	TIMEOUT	301.741037991	301.04910042101983	4233.670656
array-examples/standard_copy3_ground-2.yml	false	TIMEOUT	301.814915016	301.02453310694546	4767.543296
array-examples/standard_copy4_ground-1.yml	true	TIMEOUT	301.836458025	301.0153344889404	4913.782784
array-examples/standard_copy4_ground-2.yml	false	OUT OF MEMORY	106.239892129	105.80003545701038	4999.999488
array-examples/standard_copy5_ground-1.yml	true	OUT OF MEMORY	100.739322839	100.2783752719406	4999.999488
array-examples/standard_copy5_ground-2.yml	false	OUT OF MEMORY	110.717469989	110.0913728249725	4999.999488
array-examples/standard_copy6_ground-1.yml	false	OUT OF MEMORY	105.666281916	105.2395011249464	4999.999488
array-examples/standard_copy6_ground-2.yml	true	OUT OF MEMORY	108.534381669	108.10724816005677	4999.999488
array-examples/standard_copy7_ground-1.yml	false	OUT OF MEMORY	106.123725815	105.60729554493446	4999.999488
array-examples/standard_copy7_ground-2.yml	true	OUT OF MEMORY	106.450687658	105.90931238397025	4999.999488
array-examples/standard_copy8_ground-1.yml	true	OUT OF MEMORY	107.587885487	107.12201496202033	4999.999488
array-examples/standard_copy8_ground-2.yml	false	OUT OF MEMORY	104.799395059	104.3462797839893	4999.999488
array-examples/standard_copy9_ground-1.yml	false	OUT OF MEMORY	99.483969576	99.08809156494681	4999.999488
array-examples/standard_copy9_ground-2.yml	true	OUT OF MEMORY	101.89208779	101.47610280197114	4999.999488
array-examples/standard_copyInitSum2_ground-1.yml	false	TIMEOUT	301.545695909	301.03259670897387	3241.193472
array-examples/standard_copyInitSum2_ground-2.yml	true	TIMEOUT	301.567487215	301.02434521901887	3523.186688
array-examples/standard_copyInitSum3_ground.yml	true	TIMEOUT	301.648032932	301.0373938679695	4378.304512
array-examples/standard_copyInitSum_ground.yml	true	TIMEOUT	301.589808571	301.0257858769037	3533.676544
array-examples/standard_copyInit_ground.yml	true	TIMEOUT	301.521884804	301.02161862992216	2676.961280
array-examples/standard_find_ground-1.yml	true	OUT OF MEMORY	142.943675691	142.39861219306476	4999.999488
array-examples/standard_init1_ground-1.yml	false	TIMEOUT	301.412887399	301.0257352211047	2010.329088
array-examples/standard_init1_ground-2.yml	true	TIMEOUT	301.422529549	301.02268958999775	2010.198016
array-examples/standard_init2_ground-1.yml	false	TIMEOUT	301.511897294	301.018192682066	2579.394560
array-examples/standard_init2_ground-2.yml	true	TIMEOUT	301.43927468	301.02928964502644	2579.382272
array-examples/standard_init3_ground-1.yml	false	TIMEOUT	301.549640834	301.02000569493975	3150.430208
array-examples/standard_init3_ground-2.yml	true	TIMEOUT	301.555798073	301.0188394439174	3150.393344
array-examples/standard_init4_ground-1.yml	false	TIMEOUT	301.557101201	301.0224203830585	3766.542336
array-examples/standard_init4_ground-2.yml	true	TIMEOUT	301.266343417	302.08749585808255	3766.362112
array-examples/standard_init5_ground-1.yml	true	TIMEOUT	301.537113001	301.0217034990201	4324.532224
array-examples/standard_init5_ground-2.yml	false	TIMEOUT	301.343462073	301.01750627404545	4324.339712
array-examples/standard_init6_ground-1.yml	false	TIMEOUT	301.418654087	301.02251270599663	4965.273600
array-examples/standard_init6_ground-2.yml	true	TIMEOUT	301.488275968	301.02071188006084	4965.277696
array-examples/standard_init7_ground-1.yml	false	OUT OF MEMORY	98.009141166	97.30691596702673	4999.999488
array-examples/standard_init7_ground-2.yml	true	OUT OF MEMORY	99.975656581	99.43770532798953	4999.999488
array-examples/standard_init8_ground-1.yml	false	OUT OF MEMORY	100.530065473	99.96131115499884	4999.999488
array-examples/standard_init8_ground-2.yml	true	OUT OF MEMORY	98.616439585	98.15616769809276	4999.999488
array-examples/standard_init9_ground-1.yml	false	OUT OF MEMORY	96.09636224	95.57008590898477	4999.999488
array-examples/standard_init9_ground-2.yml	true	OUT OF MEMORY	95.497905695	95.0849851379171	4999.999488
array-examples/standard_maxInArray_ground.yml	true	TIMEOUT	301.329073656	301.0191937000491	4097.740800
array-examples/standard_minInArray_ground-1.yml	false	TIMEOUT	301.352968118	301.02476136304904	4144.848896
array-examples/standard_minInArray_ground-2.yml	true	TIMEOUT	301.361032439	301.0224518580362	4144.893952
array-examples/standard_palindrome_ground.yml	true	TIMEOUT	301.120914167	301.0147973820567	1146.941440
array-examples/standard_partial_init_ground.yml	true	TIMEOUT	301.126724342	301.01964355201926	1178.320896
array-examples/standard_partition_ground-1.yml	false	TIMEOUT	301.104013559	301.02291939698625	760.983552
array-examples/standard_partition_ground-2.yml	true	TIMEOUT	300.959778969	301.0213547720341	1394.995200
array-examples/standard_partition_original_ground.yml	true	TIMEOUT	301.114961667	301.0159648609115	1123.147776
array-examples/standard_password_ground.yml	true	TIMEOUT	301.463474695	301.0218845079653	4005.629952
array-examples/standard_reverse_ground.yml	true	TIMEOUT	301.347749531	301.02035628200974	2961.248256
array-examples/standard_running-1.yml	false	TIMEOUT	301.22562688	301.0302587749902	1882.263552
array-examples/standard_running-2.yml	true	TIMEOUT	301.249853552	301.0230208870489	1891.414016
array-examples/standard_sentinel-2.yml	true	OUT OF MEMORY	243.678449028	243.09719700692222	4999.999488
array-examples/standard_sentinel.i.v+cfa-reducer.yml	true	OUT OF MEMORY	238.128223175	237.6584734369535	4999.999488
array-examples/standard_seq_init_ground.yml	true	TIMEOUT	301.064298938	301.0223562399624	441.155584
array-examples/standard_strcmp_ground.yml	true	OUT OF MEMORY	172.573155375	172.1083849989809	4999.999488
array-examples/standard_strcpy_ground-1.yml	true	OUT OF MEMORY	145.377145688	144.96510371007025	4999.999488
array-examples/standard_strcpy_original-2.yml	true	OUT OF MEMORY	166.835345257	166.36762192798778	4999.999488
array-examples/standard_two_index_01.yml	true	TIMEOUT	301.115983799	301.12574444909114	791.101440
array-examples/standard_two_index_02.yml	true	TIMEOUT	301.149074635	301.16291224001907	786.923520
array-examples/standard_two_index_03.yml	true	TIMEOUT	301.123223171	301.11142235598527	792.276992
array-examples/standard_two_index_04.yml	true	TIMEOUT	301.031405156	303.5086659400258	806.322176
array-examples/standard_two_index_05.yml	true	TIMEOUT	301.122808422	301.1152903329348	805.023744
array-examples/standard_two_index_06.yml	true	TIMEOUT	301.15681116	301.13849516410846	798.982144
array-examples/standard_two_index_07.yml	true	TIMEOUT	301.121782045	301.11506767803803	797.302784
array-examples/standard_two_index_08.yml	true	TIMEOUT	301.122788819	301.1140924959909	796.696576
array-examples/standard_two_index_09.yml	true	TIMEOUT	301.166885566	301.1340528400615	794.996736
array-examples/standard_vararg_ground.yml	true	OUT OF MEMORY	143.04526391	142.55526975507382	4999.999488
array-examples/standard_vector_difference_ground.yml	true	TIMEOUT	301.444551161	301.01702830498107	3788.595200
array-industry-pattern/array_assert_loop_dep.yml	false	OUT OF MEMORY	181.575971719	181.04021645104513	4999.999488
array-industry-pattern/array_monotonic.yml	true	TIMEOUT	301.022227727	301.02996617392637	138.301440
array-industry-pattern/array_mul_init.yml	true	TIMEOUT	301.331112548	301.0221137360204	2058.903552
array-industry-pattern/array_of_struct_break.yml	true	TIMEOUT	301.557102197	301.0209335490363	4786.270208
array-industry-pattern/array_of_struct_loop_dep.yml	false	OUT OF MEMORY	283.594275591	282.99639862496406	4999.999488
array-industry-pattern/array_of_struct_ptr_cond_init.yml	true	TIMEOUT	301.294670452	301.01968375209253	2809.171968
array-industry-pattern/array_of_struct_ptr_flag_init.yml	true	TIMEOUT	301.186879113	301.0178945970256	1379.926016
array-industry-pattern/array_of_struct_ptr_monotonic.yml	true	TIMEOUT	301.063145367	301.02185020502657	489.050112
array-industry-pattern/array_of_struct_ptr_mul_init.yml	true	TIMEOUT	301.208216235	301.01629026490264	2054.660096
array-industry-pattern/array_of_struct_single_elem_init.yml	true	TIMEOUT	301.378580374	301.0225803559879	2486.796288
array-industry-pattern/array_ptr_partial_init.yml	true	TIMEOUT	301.07686635	301.01438438904006	381.247488
array-industry-pattern/array_ptr_single_elem_init-1.yml	true	TIMEOUT	301.478900546	301.0144387440523	3789.414400
array-industry-pattern/array_ptr_single_elem_init-2.yml	false	TIMEOUT	301.372447992	301.0334048619261	2506.670080
array-industry-pattern/array_range_init.yml	false	TIMEOUT	301.334844895	301.0196500729071	2319.089664
array-industry-pattern/array_shadowinit.yml	true	TIMEOUT	301.011431437	301.0202997670276	38.289408
array-industry-pattern/array_single_elem_init.yml	false	TIMEOUT	301.271180848	301.031069086981	2506.813440
array-industry-pattern/check_removal_from_set_after_insertion.yml	false	TIMEOUT	301.209866968	301.1394878840074	874.078208
reducercommutativity/avg05-1.yml	true	true	78.291530985	78.34516984701622	87.515136
reducercommutativity/avg10-2.yml	true	TIMEOUT	300.488471721	301.0187733649509	131.289088
reducercommutativity/avg20-2.yml	true	TIMEOUT	301.003678168	301.02554734097794	153.075712
reducercommutativity/avg40-2.yml	true	TIMEOUT	301.028566396	301.0247692170087	171.790336
reducercommutativity/avg60-1.yml	true	TIMEOUT	301.031972548	301.0200524489628	245.313536
reducercommutativity/max.yml	true	TIMEOUT	301.010952172	301.01550756196957	72.159232
reducercommutativity/max05-1.yml	true	true	1.644411899	1.6618863999610767	36.179968
reducercommutativity/max10-1.yml	true	true	42.776552123	42.788769394974224	54.382592
reducercommutativity/max20-1.yml	true	TIMEOUT	300.990187063	301.0209483829094	91.185152
reducercommutativity/max40-1.yml	true	TIMEOUT	301.014146451	301.019402415026	130.818048
reducercommutativity/max60-2.yml	true	TIMEOUT	301.01836151	301.03243126499	180.350976
reducercommutativity/rangesum.yml	false	false(unreach-call)	1.073063663	1.0882766969734803	37.449728
reducercommutativity/rangesum05.yml	false	false(unreach-call)	0.545936953	0.5652823679847643	34.320384
reducercommutativity/rangesum10.yml	false	false(unreach-call)	0.732154968	0.7473996210610494	34.291712
reducercommutativity/rangesum20.yml	false	false(unreach-call)	1.629798325	1.6495302709518	38.100992
reducercommutativity/rangesum40.yml	false	false(unreach-call)	36.086138227	36.10800103202928	60.764160
reducercommutativity/rangesum60.yml	false	false(unreach-call)	61.078687228	61.09349768899847	92.823552
reducercommutativity/sep.yml	true	TIMEOUT	301.011422718	301.0247970239725	65.159168
reducercommutativity/sep05-1.yml	true	true	0.478367865	0.4951077440055087	34.189312
reducercommutativity/sep10-2.yml	true	true	0.635795564	0.6518587589962408	34.238464
reducercommutativity/sep20-1.yml	true	true	1.436736108	1.4530830790754408	34.160640
reducercommutativity/sep40-1.yml	true	true	4.189977804	4.204795671976171	34.160640
reducercommutativity/sep60-2.yml	true	true	7.547570362	7.560430301935412	34.500608
reducercommutativity/sum05-2.yml	true	true	0.474691537	0.4909255449892953	34.136064
reducercommutativity/sum10-1.yml	true	true	0.62857739	0.6448484619613737	34.144256
reducercommutativity/sum20-2.yml	true	true	1.11966939	1.1350514380028471	34.258944
reducercommutativity/sum40-2.yml	true	true	3.28942995	3.3055978369666263	34.267136
reducercommutativity/sum60-2.yml	true	true	6.3048474	6.322371341986582	34.549760
array-tiling/mbpr2.yml	true	TIMEOUT	301.003032222	301.0204339319607	42.086400
array-tiling/mbpr3.yml	true	TIMEOUT	301.002719717	301.0158737869933	43.429888
array-tiling/mbpr4.yml	true	TIMEOUT	301.001367375	301.0172208159929	48.943104
array-tiling/mbpr5.yml	true	TIMEOUT	301.010482278	301.01953318703454	54.599680
array-tiling/mlceu.yml	false	TIMEOUT	301.006324909	301.01921902492177	35.696640
