benchmarks	CTRL	status	cputime(s)	walltime(s)	memory(MB)
array-examples/data_structures_set_multi_proc_ground-1.yml	false	TIMEOUT	301.110510358	301.01662733918056	815.226880
array-examples/data_structures_set_multi_proc_ground-2.yml	true	TIMEOUT	301.090049235	301.0214378479868	815.230976
array-examples/data_structures_set_multi_proc_trivial_ground.yml	true	TIMEOUT	301.132793506	301.0304715349339	1296.465920
array-examples/relax-2-2.yml	true	TIMEOUT	301.00867907	301.03428171388805	35.069952
array-examples/sanfoundry_02_ground.yml	true	OUT OF MEMORY	122.367189803	121.9460302288644	4999.999488
array-examples/sanfoundry_10_ground.yml	true	TIMEOUT	301.015728513	301.0244191843085	33.284096
array-examples/sanfoundry_24-1.yml	true	TIMEOUT	300.981755714	301.0408354541287	33.239040
array-examples/sanfoundry_27_ground.yml	true	TIMEOUT	301.547096792	301.02393276430666	3992.563712
array-examples/sanfoundry_43_ground.yml	true	TIMEOUT	301.602574516	301.01528893597424	3268.317184
array-examples/sorting_bubblesort_2_ground.yml	false	TIMEOUT	301.237208628	306.16322259092703	2830.348288
array-examples/sorting_bubblesort_ground-1.yml	true	TIMEOUT	301.197130805	301.06763805495575	2830.315520
array-examples/sorting_bubblesort_ground-2.yml	false	TIMEOUT	301.560806857	301.01764549221843	2830.315520
array-examples/sorting_selectionsort_2_ground.yml	false	TIMEOUT	301.234144659	301.0155837391503	1436.073984
array-examples/sorting_selectionsort_ground-1.yml	false	TIMEOUT	300.976158872	301.0199324381538	960.630784
array-examples/sorting_selectionsort_ground-2.yml	true	TIMEOUT	301.407097394	301.02166978269815	1556.987904
array-examples/standard_allDiff2_ground.yml	false	TIMEOUT	301.338393174	301.0231180298142	1547.067392
array-examples/standard_compareModified_ground.yml	true	TIMEOUT	301.407181019	301.0125360782258	1827.495936
array-examples/standard_compare_ground.yml	true	TIMEOUT	301.370541159	301.03248066687956	1700.347904
array-examples/standard_copy1_ground-1.yml	true	TIMEOUT	301.551118826	301.0184118328616	2791.153664
array-examples/standard_copy1_ground-2.yml	false	TIMEOUT	301.480131535	301.02424286911264	3384.115200
array-examples/standard_copy2_ground-1.yml	false	TIMEOUT	301.642718901	301.0581837617792	3974.180864
array-examples/standard_copy2_ground-2.yml	true	TIMEOUT	301.585911817	301.0161800859496	3461.689344
array-examples/standard_copy3_ground-1.yml	true	TIMEOUT	301.663391047	301.01744363829494	4096.827392
array-examples/standard_copy3_ground-2.yml	false	TIMEOUT	301.679517813	301.0183644541539	4629.676032
array-examples/standard_copy4_ground-1.yml	true	TIMEOUT	301.636523955	301.0398612841964	4741.558272
array-examples/standard_copy4_ground-2.yml	false	OUT OF MEMORY	104.509391854	104.03176548611373	4999.999488
array-examples/standard_copy5_ground-1.yml	true	OUT OF MEMORY	106.479746749	106.02358978800476	4999.999488
array-examples/standard_copy5_ground-2.yml	false	OUT OF MEMORY	107.715317534	107.32031207438558	4999.999488
array-examples/standard_copy6_ground-1.yml	false	OUT OF MEMORY	105.65709105	105.22599539486691	4999.999488
array-examples/standard_copy6_ground-2.yml	true	OUT OF MEMORY	104.869810144	104.48352703964338	4999.999488
array-examples/standard_copy7_ground-1.yml	false	OUT OF MEMORY	103.370429829	102.91914916504174	4999.999488
array-examples/standard_copy7_ground-2.yml	true	OUT OF MEMORY	106.206988638	105.85498632863164	4999.999488
array-examples/standard_copy8_ground-1.yml	true	OUT OF MEMORY	106.427449145	105.95108101982623	4999.999488
array-examples/standard_copy8_ground-2.yml	false	OUT OF MEMORY	103.610781333	103.22850079508498	4999.999488
array-examples/standard_copy9_ground-1.yml	false	OUT OF MEMORY	100.640080482	100.1184873636812	4999.999488
array-examples/standard_copy9_ground-2.yml	true	OUT OF MEMORY	108.376063697	107.9289319482632	4999.999488
array-examples/standard_copyInitSum2_ground-1.yml	false	TIMEOUT	301.307236241	301.0171955190599	3133.870080
array-examples/standard_copyInitSum2_ground-2.yml	true	TIMEOUT	301.33968171	301.0298215211369	3415.687168
array-examples/standard_copyInitSum3_ground.yml	true	TIMEOUT	301.469281683	301.02740139793605	4230.586368
array-examples/standard_copyInitSum_ground.yml	true	TIMEOUT	301.307950248	301.02589437225834	3432.542208
array-examples/standard_copyInit_ground.yml	true	TIMEOUT	301.240718663	301.0179064190015	2609.528832
array-examples/standard_find_ground-1.yml	true	OUT OF MEMORY	143.748784653	143.3991988147609	4999.999488
array-examples/standard_init1_ground-1.yml	false	TIMEOUT	301.178096661	301.02084922324866	1978.515456
array-examples/standard_init1_ground-2.yml	true	TIMEOUT	301.181855245	301.03641967568547	1978.527744
array-examples/standard_init2_ground-1.yml	false	TIMEOUT	301.283269437	301.02644354617223	2517.291008
array-examples/standard_init2_ground-2.yml	true	TIMEOUT	301.153883021	301.0385041530244	2517.241856
array-examples/standard_init3_ground-1.yml	false	TIMEOUT	301.365911562	301.0330342138186	3057.967104
array-examples/standard_init3_ground-2.yml	true	TIMEOUT	301.21096544	301.0274668321945	3057.975296
array-examples/standard_init4_ground-1.yml	false	TIMEOUT	301.265663646	301.026560023427	3643.486208
array-examples/standard_init4_ground-2.yml	true	TIMEOUT	301.247434347	301.03131691599265	3643.416576
array-examples/standard_init5_ground-1.yml	true	TIMEOUT	301.210799035	306.5989131596871	4171.112448
array-examples/standard_init5_ground-2.yml	false	TIMEOUT	301.299336911	301.0168979638256	4171.112448
array-examples/standard_init6_ground-1.yml	false	TIMEOUT	301.410720447	301.0254960358143	4781.629440
array-examples/standard_init6_ground-2.yml	true	TIMEOUT	301.318797469	301.0233582109213	4781.633536
array-examples/standard_init7_ground-1.yml	false	OUT OF MEMORY	96.322687425	95.98428604239598	4999.999488
array-examples/standard_init7_ground-2.yml	true	OUT OF MEMORY	96.103543447	95.70237629208714	4999.999488
array-examples/standard_init8_ground-1.yml	false	OUT OF MEMORY	101.478291318	101.20231308415532	4999.999488
array-examples/standard_init8_ground-2.yml	true	OUT OF MEMORY	103.221097059	102.777923154179	4999.999488
array-examples/standard_init9_ground-1.yml	false	OUT OF MEMORY	97.858089829	97.44106582505628	4999.999488
array-examples/standard_init9_ground-2.yml	true	OUT OF MEMORY	98.488500669	98.13155115302652	4999.999488
array-examples/standard_maxInArray_ground.yml	true	TIMEOUT	301.320668201	301.01629268797114	3951.816704
array-examples/standard_minInArray_ground-1.yml	false	TIMEOUT	301.326774703	301.0182884777896	3998.679040
array-examples/standard_minInArray_ground-2.yml	true	TIMEOUT	301.327324611	301.02177412901074	3998.953472
array-examples/standard_palindrome_ground.yml	true	TIMEOUT	301.134918192	301.0252760690637	1209.262080
array-examples/standard_partial_init_ground.yml	true	TIMEOUT	301.078147236	301.0140087045729	1007.067136
array-examples/standard_partition_ground-1.yml	false	TIMEOUT	300.991263323	301.01987796695903	202.649600
