benchmarks	CTRL	status	cputime(s)	walltime(s)	memory(MB)
array-examples/data_structures_set_multi_proc_ground-1.yml	false	TIMEOUT	301.399466595	301.0263678600313	1697.017856
array-examples/data_structures_set_multi_proc_ground-2.yml	true	TIMEOUT	301.269299892	301.0275516769616	1493.897216
array-examples/data_structures_set_multi_proc_trivial_ground.yml	true	TIMEOUT	301.626780564	301.0239422059385	2914.533376
array-examples/relax-2-2.yml	true	TIMEOUT	300.988108049	301.01921088492963	98.582528
array-examples/sanfoundry_02_ground.yml	true	OUT OF MEMORY	135.778803951	135.29389056190848	4999.999488
array-examples/sanfoundry_10_ground.yml	true	TIMEOUT	301.087433664	301.1235621010419	756.903936
array-examples/sanfoundry_24-1.yml	true	TIMEOUT	300.973791214	301.02319307101425	174.153728
array-examples/sanfoundry_27_ground.yml	true	TIMEOUT	301.844857548	301.02112241694704	4138.491904
array-examples/sanfoundry_43_ground.yml	true	TIMEOUT	301.764838238	301.01732354809064	3264.647168
array-examples/sorting_bubblesort_2_ground.yml	false	TIMEOUT	301.684655168	301.0337578790495	2777.100288
array-examples/sorting_bubblesort_ground-1.yml	true	TIMEOUT	301.652408157	301.030393372057	2777.133056
array-examples/sorting_bubblesort_ground-2.yml	false	TIMEOUT	301.603846189	301.050438469043	2777.210880
array-examples/sorting_selectionsort_2_ground.yml	false	TIMEOUT	301.400130047	301.0980676249601	1445.588992
array-examples/sorting_selectionsort_ground-1.yml	false	TIMEOUT	301.230399792	301.03851880703587	1919.959040
array-examples/sorting_selectionsort_ground-2.yml	true	TIMEOUT	301.413244023	301.01624735293444	1474.281472
array-examples/standard_allDiff2_ground.yml	false	TIMEOUT	301.386010255	301.07346759701613	1485.111296
array-examples/standard_compareModified_ground.yml	true	TIMEOUT	301.275813238	301.03691031306516	1888.432128
array-examples/standard_compare_ground.yml	true	TIMEOUT	301.448315733	301.10458826390095	1696.178176
array-examples/standard_copy1_ground-1.yml	true	TIMEOUT	301.70774889	301.0498433629982	2858.504192
array-examples/standard_copy1_ground-2.yml	false	TIMEOUT	301.751779551	301.0144913130207	3451.555840
array-examples/standard_copy2_ground-1.yml	false	TIMEOUT	301.671148875	301.0540982190287	4076.834816
array-examples/standard_copy2_ground-2.yml	true	TIMEOUT	301.729237662	301.02268826100044	3563.343872
array-examples/standard_copy3_ground-1.yml	true	TIMEOUT	301.663415962	301.117169870995	4233.682944
array-examples/standard_copy3_ground-2.yml	false	TIMEOUT	301.383747377	306.6256751770852	4767.477760
array-examples/standard_copy4_ground-1.yml	true	TIMEOUT	301.789838614	301.01945530995727	4913.844224
array-examples/standard_copy4_ground-2.yml	false	OUT OF MEMORY	103.563094728	102.90841035998892	4999.999488
array-examples/standard_copy5_ground-1.yml	true	OUT OF MEMORY	103.843551814	103.15108414797578	4999.999488
array-examples/standard_copy5_ground-2.yml	false	OUT OF MEMORY	102.389253657	102.04592767206486	4999.999488
array-examples/standard_copy6_ground-1.yml	false	OUT OF MEMORY	102.599234123	102.2205994259566	4999.999488
array-examples/standard_copy6_ground-2.yml	true	OUT OF MEMORY	105.227077744	104.83652495301794	4999.999488
array-examples/standard_copy7_ground-1.yml	false	OUT OF MEMORY	104.728193175	104.30084311403334	4999.999488
array-examples/standard_copy7_ground-2.yml	true	OUT OF MEMORY	100.177404408	99.7729349230649	4999.999488
array-examples/standard_copy8_ground-1.yml	true	OUT OF MEMORY	108.256873416	107.84733083297033	4999.999488
array-examples/standard_copy8_ground-2.yml	false	OUT OF MEMORY	103.984771684	103.64346482302062	4999.999488
array-examples/standard_copy9_ground-1.yml	false	OUT OF MEMORY	94.284087835	93.75265173695516	4999.999488
array-examples/standard_copy9_ground-2.yml	true	OUT OF MEMORY	97.279606789	96.88067022699397	4999.999488
array-examples/standard_copyInitSum2_ground-1.yml	false	TIMEOUT	301.602073943	301.0416594740236	3241.242624
array-examples/standard_copyInitSum2_ground-2.yml	true	TIMEOUT	301.544881871	301.0386805420276	3523.158016
array-examples/standard_copyInitSum3_ground.yml	true	TIMEOUT	301.798388834	301.0297618849436	4378.259456
array-examples/standard_copyInitSum_ground.yml	true	TIMEOUT	301.672854571	301.02168030501343	3533.721600
array-examples/standard_copyInit_ground.yml	true	TIMEOUT	301.546679327	301.04926960298326	2676.936704
array-examples/standard_find_ground-1.yml	true	OUT OF MEMORY	142.045682894	143.33694839302916	4999.999488
array-examples/standard_init1_ground-1.yml	false	TIMEOUT	301.424271605	301.01829093601555	2010.329088
array-examples/standard_init1_ground-2.yml	true	TIMEOUT	301.381040639	301.0198466840666	2010.206208
array-examples/standard_init2_ground-1.yml	false	TIMEOUT	301.439793544	301.01895978394896	2579.353600
array-examples/standard_init2_ground-2.yml	true	TIMEOUT	301.479629011	301.03388656605966	2579.390464
array-examples/standard_init3_ground-1.yml	false	TIMEOUT	301.647258199	301.01844986504875	3150.471168
array-examples/standard_init3_ground-2.yml	true	TIMEOUT	301.482577607	301.03751014498994	3150.516224
array-examples/standard_init4_ground-1.yml	false	TIMEOUT	301.619005167	301.03513985092286	3766.452224
array-examples/standard_init4_ground-2.yml	true	TIMEOUT	301.559456538	301.0579241999658	3766.415360
array-examples/standard_init5_ground-1.yml	true	TIMEOUT	301.41100782	305.09820228395984	4324.638720
array-examples/standard_init5_ground-2.yml	false	TIMEOUT	301.412529912	301.04527502600104	4324.507648
array-examples/standard_init6_ground-1.yml	false	TIMEOUT	301.533881031	301.02225677098613	4965.281792
array-examples/standard_init6_ground-2.yml	true	TIMEOUT	301.449589066	301.0180918320548	4965.265408
array-examples/standard_init7_ground-1.yml	false	OUT OF MEMORY	104.071261089	103.33757703902666	4999.999488
array-examples/standard_init7_ground-2.yml	true	OUT OF MEMORY	103.492712013	103.03622579795774	4999.999488
array-examples/standard_init8_ground-1.yml	false	OUT OF MEMORY	102.957500174	102.40431191993412	4999.999488
array-examples/standard_init8_ground-2.yml	true	OUT OF MEMORY	104.898319454	104.67690386401955	4999.999488
array-examples/standard_init9_ground-1.yml	false	OUT OF MEMORY	101.947834489	101.45518516097218	4999.999488
array-examples/standard_init9_ground-2.yml	true	OUT OF MEMORY	100.071214051	99.60384727094788	4999.999488
array-examples/standard_maxInArray_ground.yml	true	TIMEOUT	301.442762172	301.01512612600345	4097.630208
array-examples/standard_minInArray_ground-1.yml	false	TIMEOUT	301.53079598	302.8442879180657	4145.033216
array-examples/standard_minInArray_ground-2.yml	true	TIMEOUT	301.507433785	304.11849487409927	4144.898048
array-examples/standard_palindrome_ground.yml	true	TIMEOUT	301.163277681	301.04431712499354	1166.438400
array-examples/standard_partial_init_ground.yml	true	TIMEOUT	301.21608969	301.0184019689914	1180.778496
array-examples/standard_partition_ground-1.yml	false	TIMEOUT	301.092000945	301.01539574796334	761.397248
array-examples/standard_partition_ground-2.yml	true	TIMEOUT	301.136805892	301.0219756399747	1396.310016
array-examples/standard_partition_original_ground.yml	true	TIMEOUT	301.048081975	301.0249801990576	1158.516736
array-examples/standard_password_ground.yml	true	TIMEOUT	301.405597292	301.02090061909985	4005.588992
array-examples/standard_reverse_ground.yml	true	TIMEOUT	301.308220925	301.0202382999705	2961.211392
array-examples/standard_running-1.yml	false	TIMEOUT	301.253511089	301.0269898880506	1882.144768
array-examples/standard_running-2.yml	true	TIMEOUT	301.262116096	301.0210610519862	1891.397632
array-examples/standard_sentinel-2.yml	true	OUT OF MEMORY	240.57078333	240.04295118700247	4999.999488
array-examples/standard_sentinel.i.v+cfa-reducer.yml	true	OUT OF MEMORY	236.412352624	235.64729826094117	4999.999488
array-examples/standard_seq_init_ground.yml	true	TIMEOUT	301.002200598	301.03072104090825	435.073024
array-examples/standard_strcmp_ground.yml	true	OUT OF MEMORY	157.084647209	156.57718255999498	4999.999488
array-examples/standard_strcpy_ground-1.yml	true	OUT OF MEMORY	145.627825537	145.02537765796296	4999.999488
array-examples/standard_strcpy_original-2.yml	true	OUT OF MEMORY	166.306259834	165.85832641099114	4999.999488
array-examples/standard_two_index_01.yml	true	TIMEOUT	301.108905395	301.13511709705926	796.889088
array-examples/standard_two_index_02.yml	true	TIMEOUT	300.582411178	301.11745821498334	777.609216
array-examples/standard_two_index_03.yml	true	TIMEOUT	301.072139375	301.1094886090141	801.570816
array-examples/standard_two_index_04.yml	true	TIMEOUT	301.148403996	304.79168917099014	798.101504
array-examples/standard_two_index_05.yml	true	TIMEOUT	301.232240064	301.2696323049022	767.340544
array-examples/standard_two_index_06.yml	true	TIMEOUT	301.154438782	301.12931495707016	786.653184
array-examples/standard_two_index_07.yml	true	TIMEOUT	301.157363866	301.1207371870987	788.688896
array-examples/standard_two_index_08.yml	true	TIMEOUT	301.027118427	301.14034361205995	766.435328
array-examples/standard_two_index_09.yml	true	TIMEOUT	301.290296652	301.288691977039	787.652608
array-examples/standard_vararg_ground.yml	true	OUT OF MEMORY	149.038955186	149.46613185398746	4999.999488
array-examples/standard_vector_difference_ground.yml	true	TIMEOUT	301.824665721	301.0278013239149	3788.845056
array-industry-pattern/array_assert_loop_dep.yml	false	OUT OF MEMORY	181.630228558	180.7310626609251	4999.999488
array-industry-pattern/array_monotonic.yml	true	TIMEOUT	300.980068607	301.0287678040331	142.639104
array-industry-pattern/array_mul_init.yml	true	TIMEOUT	301.200446489	301.01753366796765	2058.821632
array-industry-pattern/array_of_struct_break.yml	true	OUT OF MEMORY	113.889112782	113.41309057292528	4999.999488
array-industry-pattern/array_of_struct_loop_dep.yml	false	OUT OF MEMORY	272.469765129	271.7613508600043	4999.999488
array-industry-pattern/array_of_struct_ptr_cond_init.yml	true	TIMEOUT	301.419408811	301.02144527307246	2809.077760
array-industry-pattern/array_of_struct_ptr_flag_init.yml	true	TIMEOUT	301.099441694	301.0210246749921	1293.135872
array-industry-pattern/array_of_struct_ptr_monotonic.yml	true	TIMEOUT	301.221041314	301.04966146696825	518.279168
array-industry-pattern/array_of_struct_ptr_mul_init.yml	true	TIMEOUT	301.411457137	301.02205105801113	2054.643712
array-industry-pattern/array_of_struct_single_elem_init.yml	true	TIMEOUT	301.497816078	301.018199578044	2486.886400
array-industry-pattern/array_ptr_partial_init.yml	true	TIMEOUT	301.085594023	301.02392149192747	380.428288
array-industry-pattern/array_ptr_single_elem_init-1.yml	true	TIMEOUT	301.570836977	301.0528102039825	3771.011072
array-industry-pattern/array_ptr_single_elem_init-2.yml	false	TIMEOUT	301.426594116	301.0190604829695	2484.994048
array-industry-pattern/array_range_init.yml	false	TIMEOUT	301.237492995	301.0152063689893	2318.958592
array-industry-pattern/array_shadowinit.yml	true	TIMEOUT	301.003206587	301.0149869049201	38.346752
array-industry-pattern/array_single_elem_init.yml	false	TIMEOUT	301.283589625	301.05826739792246	2485.055488
array-industry-pattern/check_removal_from_set_after_insertion.yml	false	TIMEOUT	300.968377597	301.16658841399476	866.271232
reducercommutativity/avg05-1.yml	true	true	76.783089062	79.06291808793321	85.008384
reducercommutativity/avg10-2.yml	true	TIMEOUT	300.51427069	301.02027203293983	130.699264
