category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_ground-1.yml	False	TIMEOUT	301.214299249	1352.626176	TIMEOUT	301.225235959	1652.146176	TIMEOUT	301.489500957	1653.932032	TIMEOUT	301.399466595	1697.017856	TIMEOUT	301.486808901	1684.3776	TIMEOUT	301.269988775	1686.765568	TIMEOUT	301.297880013	1677.283328
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_ground-2.yml	True	TIMEOUT	301.156174658	1143.578624	TIMEOUT	301.239031944	1443.36896	TIMEOUT	301.35725683	1444.409344	TIMEOUT	301.269299892	1493.897216	TIMEOUT	301.345047994	1488.666624	TIMEOUT	301.186855657	1494.77376	TIMEOUT	301.242460883	1486.065664
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_trivial_ground.yml	True	TIMEOUT	301.114652129	1259.66336	TIMEOUT	301.326858428	2768.11776	TIMEOUT	301.859376411	3077.537792	TIMEOUT	301.626780564	2914.533376	TIMEOUT	301.950921694	3224.563712	TIMEOUT	301.704445591	2898.505728	TIMEOUT	301.838782604	3195.465728
ReachSafety-Arrays	array-examples	relax-2-2.yml	True	TIMEOUT	301.012957831	100.888576	TIMEOUT	301.005563262	94.482432	TIMEOUT	301.020098311	96.182272	TIMEOUT	300.988108049	98.582528	TIMEOUT	301.042371029	96.124928	TIMEOUT	300.760597364	96.247808	TIMEOUT	300.96659853	95.543296
ReachSafety-Arrays	array-examples	sanfoundry_02_ground.yml	True	OUT OF MEMORY	123.929251001	4999.999488	OUT OF MEMORY	120.127587557	4999.999488	OUT OF MEMORY	125.176246933	4999.999488	OUT OF MEMORY	135.778803951	4999.999488	OUT OF MEMORY	131.766305983	4999.999488	OUT OF MEMORY	137.548298818	4999.999488	OUT OF MEMORY	135.350899949	4999.999488
ReachSafety-Arrays	array-examples	sanfoundry_10_ground.yml	True	TIMEOUT	301.123062527	811.790336	TIMEOUT	301.128259027	750.424064	TIMEOUT	301.205051784	771.452928	TIMEOUT	301.087433664	756.903936	TIMEOUT	301.171946725	752.685056	TIMEOUT	300.648578612	739.49184	TIMEOUT	301.187889436	757.067776
ReachSafety-Arrays	array-examples	sanfoundry_24-1.yml	True	TIMEOUT	300.992667639	198.733824	TIMEOUT	300.766868349	176.20992	TIMEOUT	301.031261756	176.156672	TIMEOUT	300.973791214	174.153728	TIMEOUT	300.973957452	174.194688	TIMEOUT	300.897146161	174.219264	TIMEOUT	301.007813977	174.280704
ReachSafety-Arrays	array-examples	sanfoundry_27_ground.yml	True	TIMEOUT	301.438310039	3455.414272	TIMEOUT	301.841734338	4137.742336	TIMEOUT	301.862898426	4137.709568	TIMEOUT	301.844857548	4138.491904	TIMEOUT	301.842366462	4138.409984	TIMEOUT	301.691188482	4138.258432	TIMEOUT	301.852904423	4138.438656
ReachSafety-Arrays	array-examples	sanfoundry_43_ground.yml	True	TIMEOUT	301.430455987	3059.847168	TIMEOUT	301.698592306	3306.82368	TIMEOUT	301.818393857	3469.90592	TIMEOUT	301.764838238	3264.647168	TIMEOUT	301.799298654	3379.052544	TIMEOUT	301.74313843	3297.718272	TIMEOUT	301.845518959	3331.354624
ReachSafety-Arrays	array-examples	sorting_bubblesort_2_ground.yml	False	TIMEOUT	301.143635865	922.181632	TIMEOUT	301.526068204	2729.357312	TIMEOUT	301.6915433	2742.239232	TIMEOUT	301.684655168	2777.100288	TIMEOUT	301.735706029	2790.055936	TIMEOUT	301.431281275	2777.12896	TIMEOUT	301.768066291	2790.6048
