benchmarks	CTRL	status	cputime(s)	walltime(s)	memory(MB)
array-examples/data_structures_set_multi_proc_ground-1.yml	false	TIMEOUT	301.143077186	301.02763459295966	1395.339264
array-examples/data_structures_set_multi_proc_ground-2.yml	true	TIMEOUT	301.159751656	301.0369626390748	1154.768896
array-examples/data_structures_set_multi_proc_trivial_ground.yml	true	TIMEOUT	301.107541325	301.0230600410141	1264.889856
array-examples/relax-2-2.yml	true	TIMEOUT	301.010908406	301.01653916807845	100.868096
array-examples/sanfoundry_02_ground.yml	true	OUT OF MEMORY	116.693217427	116.26855712593533	4999.999488
array-examples/sanfoundry_10_ground.yml	true	TIMEOUT	301.081171722	301.118060615845	835.051520
array-examples/sanfoundry_24-1.yml	true	TIMEOUT	301.021523096	301.0261904071085	206.622720
array-examples/sanfoundry_27_ground.yml	true	TIMEOUT	301.303859487	301.0218833310064	3455.369216
array-examples/sanfoundry_43_ground.yml	true	TIMEOUT	301.258374059	301.02145409188233	3178.475520
array-examples/sorting_bubblesort_2_ground.yml	false	TIMEOUT	301.119763182	301.0386618121993	929.214464
array-examples/sorting_bubblesort_ground-1.yml	true	TIMEOUT	301.096674871	301.0246090372093	926.453760
array-examples/sorting_bubblesort_ground-2.yml	false	TIMEOUT	301.016843291	301.0306288409047	928.935936
array-examples/sorting_selectionsort_2_ground.yml	false	TIMEOUT	300.8278099	301.0173779481556	1173.905408
array-examples/sorting_selectionsort_ground-1.yml	false	TIMEOUT	301.060243377	304.91437904001214	1215.176704
array-examples/sorting_selectionsort_ground-2.yml	true	TIMEOUT	301.098998166	301.02658836496994	1192.615936
array-examples/standard_allDiff2_ground.yml	false	TIMEOUT	301.074889711	301.03652597102337	1202.278400
array-examples/standard_compareModified_ground.yml	true	TIMEOUT	301.05820879	301.03464218694717	1560.301568
array-examples/standard_compare_ground.yml	true	TIMEOUT	301.096751927	301.0166202739347	1561.735168
array-examples/standard_copy1_ground-1.yml	true	TIMEOUT	301.172762288	301.01663488708436	2604.716032
array-examples/standard_copy1_ground-2.yml	false	TIMEOUT	301.218148074	301.0157102609519	3181.711360
array-examples/standard_copy2_ground-1.yml	false	TIMEOUT	301.252600967	301.0196465351619	3735.572480
array-examples/standard_copy2_ground-2.yml	true	TIMEOUT	301.197898174	301.0144043068867	3239.092224
array-examples/standard_copy3_ground-1.yml	true	TIMEOUT	301.277921284	301.0198683370836	3838.722048
array-examples/standard_copy3_ground-2.yml	false	TIMEOUT	301.295853791	301.03582401317544	4355.624960
array-examples/standard_copy4_ground-1.yml	true	TIMEOUT	301.284302263	301.01966017181985	4448.485376
array-examples/standard_copy4_ground-2.yml	false	TIMEOUT	301.33775902	301.0192244180944	4938.403840
array-examples/standard_copy5_ground-1.yml	true	OUT OF MEMORY	103.100733067	102.72509559104219	4999.999488
array-examples/standard_copy5_ground-2.yml	false	OUT OF MEMORY	102.45307107	101.95682395598851	4999.999488
array-examples/standard_copy6_ground-1.yml	false	OUT OF MEMORY	103.844131403	103.35758916498162	4999.999488
array-examples/standard_copy6_ground-2.yml	true	OUT OF MEMORY	104.053027058	103.58036168687977	4999.999488
array-examples/standard_copy7_ground-1.yml	false	OUT OF MEMORY	104.132100049	103.68037637509406	4999.999488
array-examples/standard_copy7_ground-2.yml	true	OUT OF MEMORY	106.748006102	106.40767856896855	4999.999488
array-examples/standard_copy8_ground-1.yml	true	OUT OF MEMORY	105.411873468	105.06409135693684	4999.999488
array-examples/standard_copy8_ground-2.yml	false	OUT OF MEMORY	105.704895444	105.26613386510871	4999.999488
array-examples/standard_copy9_ground-1.yml	false	OUT OF MEMORY	106.35771991	105.95718705886975	4999.999488
array-examples/standard_copy9_ground-2.yml	true	OUT OF MEMORY	103.765430526	103.36916148592718	4999.999488
array-examples/standard_copyInitSum2_ground-1.yml	false	TIMEOUT	301.178651153	301.0333988338243	2892.898304
array-examples/standard_copyInitSum2_ground-2.yml	true	TIMEOUT	301.2949341	301.0173648041673	3174.719488
array-examples/standard_copyInitSum3_ground.yml	true	TIMEOUT	301.326334416	301.01643147994764	3940.007936
array-examples/standard_copyInitSum_ground.yml	true	TIMEOUT	301.271296968	301.01794474595226	3185.369088
array-examples/standard_copyInit_ground.yml	true	TIMEOUT	301.100106677	301.02208466501907	2443.956224
array-examples/standard_find_ground-1.yml	true	OUT OF MEMORY	137.292100232	136.8615931798704	4999.999488
array-examples/standard_init1_ground-1.yml	false	TIMEOUT	301.199582153	301.0170253929682	1847.910400
array-examples/standard_init1_ground-2.yml	true	TIMEOUT	301.142129978	301.0156083579641	1847.816192
array-examples/standard_init2_ground-1.yml	false	TIMEOUT	301.231551133	301.019094866002	2365.583360
array-examples/standard_init2_ground-2.yml	true	TIMEOUT	301.228525127	301.0201349889394	2365.558784
array-examples/standard_init3_ground-1.yml	false	TIMEOUT	301.207926024	301.022832371993	2885.398528
array-examples/standard_init3_ground-2.yml	true	TIMEOUT	301.235320726	301.0313064309303	2885.414912
array-examples/standard_init4_ground-1.yml	false	TIMEOUT	301.233588021	301.0221378118731	3450.122240
array-examples/standard_init4_ground-2.yml	true	TIMEOUT	300.889551987	301.018843262922	3450.023936
array-examples/standard_init5_ground-1.yml	true	TIMEOUT	301.377092801	301.0199794389773	3956.834304
array-examples/standard_init5_ground-2.yml	false	TIMEOUT	301.26717905	301.01822335086763	3956.887552
array-examples/standard_init6_ground-1.yml	false	TIMEOUT	301.452648252	301.02488266909495	4546.334720
array-examples/standard_init6_ground-2.yml	true	TIMEOUT	301.396468702	301.06136541906744	4546.396160
array-examples/standard_init7_ground-1.yml	false	OUT OF MEMORY	108.673862269	108.23170958808623	4999.999488
array-examples/standard_init7_ground-2.yml	true	OUT OF MEMORY	108.16180748	107.7389020291157	4999.999488
