benchmarks	CTRL	status	cputime(s)	walltime(s)	memory(MB)
array-examples/data_structures_set_multi_proc_ground-1.yml	false	TIMEOUT	301.161089649	301.01316465903074	1624.514560
array-examples/data_structures_set_multi_proc_ground-2.yml	true	TIMEOUT	301.163551082	301.0227952920832	1407.733760
array-examples/data_structures_set_multi_proc_trivial_ground.yml	true	TIMEOUT	301.335244296	301.01881178375334	2897.317888
array-examples/relax-2-2.yml	true	TIMEOUT	301.005232786	301.0199830327183	101.916672
array-examples/sanfoundry_02_ground.yml	true	OUT OF MEMORY	127.83406418	127.43079942231998	4999.999488
array-examples/sanfoundry_10_ground.yml	true	TIMEOUT	301.045540144	301.09245597105473	795.893760
array-examples/sanfoundry_24-1.yml	true	TIMEOUT	301.038837476	301.07496555615216	179.204096
array-examples/sanfoundry_27_ground.yml	true	TIMEOUT	301.601565109	301.03555380320176	3993.112576
array-examples/sanfoundry_43_ground.yml	true	TIMEOUT	301.43309449	301.03192857280374	3391.934464
array-examples/sorting_bubblesort_2_ground.yml	false	TIMEOUT	301.506286119	301.0202516759746	2801.786880
array-examples/sorting_bubblesort_ground-1.yml	true	TIMEOUT	301.492222152	301.0177874159999	2801.799168
array-examples/sorting_bubblesort_ground-2.yml	false	TIMEOUT	301.376508058	301.0160086415708	2801.790976
array-examples/sorting_selectionsort_2_ground.yml	false	TIMEOUT	301.302037749	301.04304161900654	1531.932672
array-examples/sorting_selectionsort_ground-1.yml	false	TIMEOUT	301.326002734	301.0729367430322	1981.956096
array-examples/sorting_selectionsort_ground-2.yml	true	TIMEOUT	301.242437268	301.0491386987269	1536.323584
array-examples/standard_allDiff2_ground.yml	false	TIMEOUT	301.326539798	301.0652746190317	1540.624384
array-examples/standard_compareModified_ground.yml	true	TIMEOUT	301.411563307	301.0149905239232	1868.759040
array-examples/standard_compare_ground.yml	true	TIMEOUT	301.342747244	301.0585383051075	1734.295552
array-examples/standard_copy1_ground-1.yml	true	TIMEOUT	301.440823282	301.0437111342326	2791.628800
array-examples/standard_copy1_ground-2.yml	false	TIMEOUT	301.468572028	301.03755784220994	3384.725504
array-examples/standard_copy2_ground-1.yml	false	TIMEOUT	301.412949754	301.07106146775186	3974.660096
array-examples/standard_copy2_ground-2.yml	true	TIMEOUT	301.373433656	301.0215904349461	3462.127616
array-examples/standard_copy3_ground-1.yml	true	TIMEOUT	301.301620212	301.053697604686	4097.282048
array-examples/standard_copy3_ground-2.yml	false	TIMEOUT	301.335585215	301.0494385678321	4630.183936
array-examples/standard_copy4_ground-1.yml	true	TIMEOUT	301.346185733	301.02936389809474	4742.176768
array-examples/standard_copy4_ground-2.yml	false	OUT OF MEMORY	95.37370152	94.91680383775383	4999.999488
array-examples/standard_copy5_ground-1.yml	true	OUT OF MEMORY	91.444798896	91.07009598892182	4999.999488
array-examples/standard_copy5_ground-2.yml	false	OUT OF MEMORY	101.641780808	101.19978403905407	4999.999488
array-examples/standard_copy6_ground-1.yml	false	OUT OF MEMORY	101.759832044	101.37120608100668	4999.999488
array-examples/standard_copy6_ground-2.yml	true	OUT OF MEMORY	103.124311227	102.73430600389838	4999.999488
