benchmarks	CTRL	status	cputime(s)	walltime(s)	memory(MB)
array-examples/data_structures_set_multi_proc_ground-1.yml	false	TIMEOUT	301.243705723	301.0330975218676	1607.639040
array-examples/data_structures_set_multi_proc_ground-2.yml	true	TIMEOUT	301.243727727	301.0273029441014	1401.319424
array-examples/data_structures_set_multi_proc_trivial_ground.yml	true	TIMEOUT	301.566080283	301.0286476830952	3189.104640
array-examples/relax-2-2.yml	true	TIMEOUT	301.057209724	301.0539523139596	95.334400
array-examples/sanfoundry_02_ground.yml	true	OUT OF MEMORY	137.203830984	136.64368694787845	4999.999488
array-examples/sanfoundry_10_ground.yml	true	TIMEOUT	301.067303593	301.1740956250578	777.248768
array-examples/sanfoundry_24-1.yml	true	TIMEOUT	301.061434447	301.04931840114295	175.542272
array-examples/sanfoundry_27_ground.yml	true	TIMEOUT	301.723363905	301.03514683200046	3993.096192
array-examples/sanfoundry_43_ground.yml	true	TIMEOUT	301.689423042	301.0287796771154	3442.184192
array-examples/sorting_bubblesort_2_ground.yml	false	TIMEOUT	301.559952622	301.0549477767199	2811.166720
array-examples/sorting_bubblesort_ground-1.yml	true	TIMEOUT	301.720841736	301.0378129379824	2811.744256
array-examples/sorting_bubblesort_ground-2.yml	false	TIMEOUT	301.586913496	301.0294480943121	2811.678720
array-examples/sorting_selectionsort_2_ground.yml	false	TIMEOUT	301.291140595	301.0264013130218	1466.839040
array-examples/sorting_selectionsort_ground-1.yml	false	TIMEOUT	301.133084994	306.96582835912704	1999.659008
array-examples/sorting_selectionsort_ground-2.yml	true	TIMEOUT	301.31231508	301.0269485502504	1510.821888
array-examples/standard_allDiff2_ground.yml	false	TIMEOUT	301.365278748	301.04764286708087	1491.193856
array-examples/standard_compareModified_ground.yml	true	TIMEOUT	301.397033915	301.03893699357286	1830.916096
array-examples/standard_compare_ground.yml	true	TIMEOUT	301.372718782	301.03692307928577	1663.770624
array-examples/standard_copy1_ground-1.yml	true	TIMEOUT	301.425360439	301.04128415090963	2791.641088
array-examples/standard_copy1_ground-2.yml	false	TIMEOUT	301.591694899	301.0331472568214	3384.688640
array-examples/standard_copy2_ground-1.yml	false	TIMEOUT	301.753701449	301.04207778396085	3974.664192
array-examples/standard_copy2_ground-2.yml	true	TIMEOUT	301.56924988	301.0404902561568	3462.209536
array-examples/standard_copy3_ground-1.yml	true	TIMEOUT	301.552472024	301.04290867224336	4097.241088
array-examples/standard_copy3_ground-2.yml	false	TIMEOUT	301.590825252	301.03560931794345	4630.130688
array-examples/standard_copy4_ground-1.yml	true	TIMEOUT	301.034830136	301.03065157076344	4742.168576
array-examples/standard_copy4_ground-2.yml	false	OUT OF MEMORY	100.833008688	100.28222682792693	4999.999488
array-examples/standard_copy5_ground-1.yml	true	OUT OF MEMORY	101.424786758	100.9164202529937	4999.999488
array-examples/standard_copy5_ground-2.yml	false	OUT OF MEMORY	101.19164863	100.74915667483583	4999.999488
array-examples/standard_copy6_ground-1.yml	false	OUT OF MEMORY	103.835398925	103.45589891821146	4999.999488
array-examples/standard_copy6_ground-2.yml	true	OUT OF MEMORY	105.39939365	104.96133067598566	4999.999488
array-examples/standard_copy7_ground-1.yml	false	OUT OF MEMORY	103.673682004	103.30829314794391	4999.999488
array-examples/standard_copy7_ground-2.yml	true	OUT OF MEMORY	103.39554658	102.96138399001211	4999.999488
array-examples/standard_copy8_ground-1.yml	true	OUT OF MEMORY	103.396986169	103.0026194951497	4999.999488
array-examples/standard_copy8_ground-2.yml	false	OUT OF MEMORY	106.471469631	105.96487579494715	4999.999488
array-examples/standard_copy9_ground-1.yml	false	OUT OF MEMORY	98.380002403	97.98256385605782	4999.999488
array-examples/standard_copy9_ground-2.yml	true	OUT OF MEMORY	106.986703262	106.54875611979514	4999.999488
array-examples/standard_copyInitSum2_ground-1.yml	false	TIMEOUT	301.255808545	301.0338649181649	3134.447616
array-examples/standard_copyInitSum2_ground-2.yml	true	TIMEOUT	301.368871355	301.0367165328935	3416.338432
array-examples/standard_copyInitSum3_ground.yml	true	TIMEOUT	301.482314737	301.0400138911791	4231.139328
