category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_ground-1.yml	False	TIMEOUT	120.919779885	1190.7072	TIMEOUT	121.08165795	1742.204928	TIMEOUT	121.159352614	1814.286336	TIMEOUT	121.066964709	1462.41536
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_ground-2.yml	True	TIMEOUT	121.083367643	1062.096896	TIMEOUT	121.12080093	1871.95392	TIMEOUT	121.163036296	1865.568256	TIMEOUT	121.076682081	1505.611776
ReachSafety-Arrays	array-examples	relax-2-2.yml	True	TIMEOUT	120.988286606	60.715008	TIMEOUT	120.889005678	61.816832	TIMEOUT	120.319680119	61.739008	TIMEOUT	120.994076666	71.471104
ReachSafety-Arrays	array-examples	sanfoundry_02_ground.yml	True	TIMEOUT	121.188366605	3224.834048	TIMEOUT	121.396162267	3141.513216	TIMEOUT	121.210465424	2995.535872	TIMEOUT	121.063322927	2501.074944
ReachSafety-Arrays	array-examples	sanfoundry_10_ground.yml	True	TIMEOUT	120.9621974	201.551872	TIMEOUT	120.827434983	196.7104	TIMEOUT	120.779082088	211.320832	TIMEOUT	120.962652582	240.963584
ReachSafety-Arrays	array-examples	sanfoundry_43_ground.yml	True	TIMEOUT	121.082976807	1168.203776	TIMEOUT	121.187895431	1396.826112	TIMEOUT	120.93149642	1449.517056	TIMEOUT	120.914588339	1155.2768
ReachSafety-Arrays	array-examples	sorting_selectionsort_2_ground.yml	False	TIMEOUT	120.935760988	1495.486464	TIMEOUT	121.15056287	1765.72416	TIMEOUT	121.030253008	1767.58784	TIMEOUT	121.058385447	1420.460032
ReachSafety-Arrays	array-examples	sorting_selectionsort_ground-1.yml	False	TIMEOUT	121.090434868	1647.017984	TIMEOUT	121.165503301	2482.36032	TIMEOUT	121.249170745	2529.042432	TIMEOUT	121.075290051	2021.634048
ReachSafety-Arrays	array-examples	sorting_selectionsort_ground-2.yml	True	TIMEOUT	121.079953829	1526.82496	TIMEOUT	121.08785359	1868.361728	TIMEOUT	120.653839937	1882.95168	TIMEOUT	121.00007451	1535.85664
ReachSafety-Arrays	array-examples	standard_allDiff2_ground.yml	False	TIMEOUT	120.745385189	1588.166656	TIMEOUT	120.635033841	1845.600256	TIMEOUT	121.168179849	1853.935616	TIMEOUT	121.053337598	1506.869248
ReachSafety-Arrays	array-examples	standard_copy2_ground-1.yml	False	TIMEOUT	121.268859856	3630.235648	TIMEOUT	121.063715024	3348.123648	TIMEOUT	121.841586286	3703.115776	TIMEOUT	121.157720785	2406.916096
ReachSafety-Arrays	array-examples	standard_copy2_ground-2.yml	True	TIMEOUT	121.684496235	3237.691392	TIMEOUT	121.883222501	3277.76256	TIMEOUT	121.336643074	3633.553408	TIMEOUT	121.162709167	2518.601728
ReachSafety-Arrays	array-examples	standard_copy3_ground-1.yml	True	TIMEOUT	120.904316237	3574.759424	TIMEOUT	121.57802075	3058.880512	TIMEOUT	121.228263936	3293.192192	TIMEOUT	121.17469823	2290.5856
ReachSafety-Arrays	array-examples	standard_copy3_ground-2.yml	False	TIMEOUT	121.37908283	3619.639296	TIMEOUT	121.270155807	2896.75264	TIMEOUT	121.469367495	3356.3648	TIMEOUT	121.216141174	2364.17024
ReachSafety-Arrays	array-examples	standard_copy4_ground-1.yml	True	TIMEOUT	121.148306005	3416.199168	TIMEOUT	121.129964674	2965.97504	TIMEOUT	121.305566235	3085.062144	TIMEOUT	121.135515096	2333.179904
ReachSafety-Arrays	array-examples	standard_copy4_ground-2.yml	False	TIMEOUT	121.27763655	3648.540672	TIMEOUT	121.268976137	2989.064192	TIMEOUT	121.222338683	3279.495168	TIMEOUT	121.185320767	2418.54464
ReachSafety-Arrays	array-examples	standard_copy5_ground-1.yml	True	TIMEOUT	121.241387773	3524.902912	TIMEOUT	121.563127205	2929.614848	TIMEOUT	120.858276852	3230.113792	TIMEOUT	121.198189266	2196.23424
ReachSafety-Arrays	array-examples	standard_copy5_ground-2.yml	False	TIMEOUT	121.211450133	3436.834816	TIMEOUT	121.224752277	2919.534592	TIMEOUT	121.172338052	3390.992384	TIMEOUT	121.172430191	1978.896384
