benchmarks	CTRL	status	cputime(s)	walltime(s)	memory(MB)
array-examples/data_structures_set_multi_proc_ground-1.yml	false	TIMEOUT	121.159352614	121.01326862582937	1814.286336
array-examples/data_structures_set_multi_proc_ground-2.yml	true	TIMEOUT	121.163036296	121.00524032698013	1865.568256
array-examples/relax-2-2.yml	true	TIMEOUT	120.319680119	121.0084230559878	61.739008
array-examples/sanfoundry_02_ground.yml	true	TIMEOUT	121.210465424	121.00661868415773	2995.535872
array-examples/sanfoundry_10_ground.yml	true	TIMEOUT	120.779082088	121.04693589918315	211.320832
array-examples/sanfoundry_43_ground.yml	true	TIMEOUT	120.93149642	121.01156503311358	1449.517056
array-examples/sorting_selectionsort_2_ground.yml	false	TIMEOUT	121.030253008	121.00995271606371	1767.587840
array-examples/sorting_selectionsort_ground-1.yml	false	TIMEOUT	121.249170745	121.01466276217252	2529.042432
array-examples/sorting_selectionsort_ground-2.yml	true	TIMEOUT	120.653839937	121.00871272501536	1882.951680
array-examples/standard_allDiff2_ground.yml	false	TIMEOUT	121.168179849	121.14360702200793	1853.935616
array-examples/standard_copy2_ground-1.yml	false	TIMEOUT	121.841586286	121.47997934604064	3703.115776
array-examples/standard_copy2_ground-2.yml	true	TIMEOUT	121.336643074	121.08053287002258	3633.553408
array-examples/standard_copy3_ground-1.yml	true	TIMEOUT	121.228263936	121.15515048895031	3293.192192
array-examples/standard_copy3_ground-2.yml	false	TIMEOUT	121.469367495	121.34828950208612	3356.364800
array-examples/standard_copy4_ground-1.yml	true	TIMEOUT	121.305566235	121.05058986879885	3085.062144
array-examples/standard_copy4_ground-2.yml	false	TIMEOUT	121.222338683	121.0081482231617	3279.495168
array-examples/standard_copy5_ground-1.yml	true	TIMEOUT	120.858276852	121.00505743315443	3230.113792
array-examples/standard_copy5_ground-2.yml	false	TIMEOUT	121.172338052	121.0174839370884	3390.992384
array-examples/standard_copy6_ground-1.yml	false	TIMEOUT	121.150568042	121.01779758697376	3377.545216
array-examples/standard_copy6_ground-2.yml	true	TIMEOUT	121.070098469	121.0082436890807	3445.583872
array-examples/standard_copy7_ground-1.yml	false	TIMEOUT	121.113629791	121.01251301099546	3567.157248
array-examples/standard_copy7_ground-2.yml	true	TIMEOUT	121.320559207	123.11755076702684	3417.976832
array-examples/standard_copy8_ground-1.yml	true	TIMEOUT	121.248034158	121.00754189817235	3780.464640
array-examples/standard_copy8_ground-2.yml	false	TIMEOUT	121.09173218	121.03040717309341	3929.587712
array-examples/standard_copy9_ground-1.yml	false	TIMEOUT	121.055969755	121.01536855404265	4291.817472
array-examples/standard_copy9_ground-2.yml	true	TIMEOUT	121.01775967	121.04444278217852	4142.710784
array-examples/standard_copyInitSum2_ground-1.yml	false	TIMEOUT	121.031264168	121.03888621088117	3311.857664
array-examples/standard_copyInitSum2_ground-2.yml	true	TIMEOUT	120.751448366	121.01800502417609	3487.686656
array-examples/standard_copyInitSum3_ground.yml	true	TIMEOUT	120.666616486	121.03972246288322	3336.781824
array-examples/standard_copyInitSum_ground.yml	true	TIMEOUT	121.246658941	121.00605380698107	3424.485376
array-examples/standard_partial_init_ground.yml	true	TIMEOUT	120.605880076	121.00688566896133	1347.547136
array-examples/standard_partition_ground-1.yml	false	TIMEOUT	120.938132853	121.0139538878575	901.980160
array-examples/standard_partition_ground-2.yml	true	TIMEOUT	120.777587567	121.01104208617471	1387.749376
array-examples/standard_partition_original_ground.yml	true	TIMEOUT	121.134436768	121.08563552889973	1848.557568
array-examples/standard_sentinel-2.yml	true	TIMEOUT	121.192138443	121.01304131397046	2338.099200
array-examples/standard_sentinel.i.v+cfa-reducer.yml	true	TIMEOUT	121.172755493	121.00728718796745	2363.187200
array-examples/standard_seq_init_ground.yml	true	TIMEOUT	121.301203273	121.01057328702882	4514.156544
array-examples/standard_two_index_01.yml	true	TIMEOUT	120.720944477	121.07836613198742	225.398784
array-examples/standard_two_index_02.yml	true	TIMEOUT	120.325196887	121.03554989094846	225.755136
array-examples/standard_two_index_03.yml	true	TIMEOUT	120.776232953	121.03943087300286	224.878592
array-examples/standard_two_index_04.yml	true	TIMEOUT	120.445767463	121.04377812892199	223.862784
array-examples/standard_two_index_05.yml	true	TIMEOUT	120.58875649	121.07133398507722	228.536320
array-examples/standard_two_index_06.yml	true	TIMEOUT	120.917913389	122.8670076560229	225.615872
array-examples/standard_two_index_07.yml	true	TIMEOUT	120.544142081	121.1277655379381	225.538048
array-examples/standard_two_index_08.yml	true	TIMEOUT	120.942855615	121.06387965497561	229.896192
array-examples/standard_two_index_09.yml	true	TIMEOUT	120.983388966	121.04591840994544	226.828288
array-examples/standard_vararg_ground.yml	true	TIMEOUT	121.16247524	121.00651188311167	3364.466688
array-examples/standard_vector_difference_ground.yml	true	TIMEOUT	121.339246897	121.02033774415031	3850.354688
array-industry-pattern/array_mul_init.yml	true	TIMEOUT	121.35440511	121.00583493104205	3315.171328
array-industry-pattern/array_of_struct_ptr_mul_init.yml	true	TIMEOUT	121.19408503	121.00742085417733	3037.114368
array-industry-pattern/array_shadowinit.yml	true	TIMEOUT	120.942776123	121.00997148198076	34.406400
array-industry-pattern/check_removal_from_set_after_insertion.yml	false	TIMEOUT	120.618875495	121.03435071487911	262.164480
reducercommutativity/avg05-1.yml	true	true	93.594055707	93.671092716977	85.692416
reducercommutativity/avg10-2.yml	true	TIMEOUT	120.91032895	121.01448797713965	93.265920
reducercommutativity/avg20-2.yml	true	TIMEOUT	120.926479484	121.01641393103637	105.226240
reducercommutativity/avg40-2.yml	true	TIMEOUT	120.9993973	121.03719853516668	118.292480
reducercommutativity/avg60-1.yml	true	TIMEOUT	120.848939242	121.02054867008701	125.431808
reducercommutativity/rangesum.yml	false	false(unreach-call)	4.293868693	4.314008999150246	62.345216
reducercommutativity/rangesum05.yml	false	false(unreach-call)	0.607050836	0.626886083977297	32.272384
reducercommutativity/rangesum10.yml	false	false(unreach-call)	0.932046091	0.9972873609513044	32.673792
reducercommutativity/rangesum20.yml	false	false(unreach-call)	2.387558396	2.490982423070818	36.311040
reducercommutativity/rangesum40.yml	false	false(unreach-call)	44.070578521	44.23700053594075	58.638336
reducercommutativity/rangesum60.yml	false	false(unreach-call)	76.682970061	76.75099543179385	92.016640
reducercommutativity/sep.yml	true	TIMEOUT	120.774011267	121.00326746399514	52.940800
reducercommutativity/sep10-2.yml	true	true	0.913207439	0.9239012280013412	33.038336
reducercommutativity/sep20-1.yml	true	true	1.947032203	1.9918587219435722	34.988032
reducercommutativity/sep40-1.yml	true	true	6.118593689	6.149998180102557	40.726528
reducercommutativity/sep60-2.yml	true	true	12.616748688	12.633627053815871	49.033216
reducercommutativity/sum05-2.yml	true	true	0.572225441	0.5857613179832697	32.432128
reducercommutativity/sum10-1.yml	true	true	0.975042176	0.9833736810833216	33.574912
reducercommutativity/sum20-2.yml	true	true	1.98615004	2.0032633759547025	36.376576
reducercommutativity/sum40-2.yml	true	true	6.615647588	6.641695755999535	43.909120
reducercommutativity/sum60-2.yml	true	true	13.996884324	14.020987672964111	52.330496
array-tiling/poly2.yml	true	TIMEOUT	120.936350649	121.01788299693726	36.614144
array-programs/copysome1-1.yml	true	TIMEOUT	121.471673705	121.04583237692714	3820.576768
array-programs/copysome1-2.yml	false	TIMEOUT	120.996061951	121.00665204995312	3820.445696
array-programs/copysome2-1.yml	true	TIMEOUT	121.62001897	121.00958477705717	5644.906496
array-programs/copysome2-2.yml	false	TIMEOUT	121.738268532	121.00779743585736	5644.840960
array-programs/partial_mod_count_1.yml	true	TIMEOUT	120.667663501	121.04458891693503	113.131520
array-programs/partial_mod_count_2.yml	true	TIMEOUT	120.887827638	121.02640536800027	112.128000
array-programs/partial_mod_count_3.yml	true	TIMEOUT	120.589871258	121.0184539980255	113.037312
array-programs/partial_mod_count_4.yml	true	TIMEOUT	120.776847504	121.0183262960054	112.160768
array-programs/partial_mod_count_5.yml	true	TIMEOUT	120.916979336	121.01885622995906	112.812032
